TABLE_NAME|COLUMN_NAME|DATA_TYPE|IS_NULLABLE|CHARACTER_MAXIMUM_LENGTH
Branches|Address|nvarchar|YES|255
Branches|City|nvarchar|YES|100
Branches|Province|nvarchar|YES|100
Branches|PostalCode|nvarchar|YES|20
Branches|Phone|nvarchar|YES|20
Branches|Email|nvarchar|YES|100
Branches|ManagerName|nvarchar|YES|100
Branches|IsActive|bit|NO|NULL
Branches|CreatedDate|datetime|NO|NULL
Branches|ModifiedDate|datetime|YES|NULL
Branches|CreatedBy|int|YES|NULL
Branches|ModifiedBy|int|YES|NULL
Branches|AddressLine1|nvarchar|YES|120
Branches|AddressLine2|nvarchar|YES|120
Branches|Country|nvarchar|YES|80
Branches|TaxNumber|nvarchar|YES|40
CashBook|CashBookID|int|NO|NULL
CashBook|TransactionDate|date|NO|NULL
CashBook|TransactionType|nvarchar|NO|20
CashBook|Description|nvarchar|NO|200
CashBook|Amount|decimal|NO|NULL
CashBook|CashAmount|decimal|YES|NULL
CashBook|BankAmount|decimal|YES|NULL
CashBook|PaymentMethod|nvarchar|YES|50
CashBook|BranchID|int|YES|NULL
CashBook|IsReconciled|bit|YES|NULL
CashBook|CreatedDate|datetime2|YES|NULL
Categories|CategoryID|int|NO|NULL
Categories|CategoryName|nvarchar|NO|100
Categories|IsActive|bit|NO|NULL
Categories|CategoryCode|varchar|YES|10
ComponentDefinition|ComponentID|int|NO|NULL
ComponentDefinition|ComponentName|nvarchar|NO|200
ComponentDefinition|Description|nvarchar|YES|500
ComponentDefinition|IsActive|bit|NO|NULL
ComponentDefinition|CreatedDate|datetime|NO|NULL
ComponentDefinition|ModifiedDate|datetime|YES|NULL
ComponentItem|ComponentItemID|int|NO|NULL
ComponentItem|ComponentID|int|NO|NULL
ComponentItem|ItemType|varchar|NO|20
ComponentItem|MaterialID|int|YES|NULL
ComponentItem|SubAssemblyProductID|int|YES|NULL
ComponentItem|ItemName|nvarchar|YES|200
ComponentItem|DefaultQty|decimal|YES|NULL
ComponentItem|UoMID|int|YES|NULL
ComponentItem|Notes|nvarchar|YES|500
ComponentItem|SortOrder|int|NO|NULL
ComponentItemAttribute|ComponentItemID|int|NO|NULL
ComponentItemAttribute|AttributeID|int|NO|NULL
ComponentItemAttribute|ValueText|nvarchar|YES|400
ComponentItemAttribute|ValueNumber|decimal|YES|NULL
ComponentItemAttribute|ValueBool|bit|YES|NULL
CreditNoteLines|CreditNoteLineID|int|NO|NULL
CreditNoteLines|CreditNoteID|int|NO|NULL
CreditNoteLines|GRNLineID|int|YES|NULL
CreditNoteLines|MaterialID|int|YES|NULL
CreditNoteLines|ReturnQuantity|decimal|NO|NULL
CreditNoteLines|UnitCost|decimal|NO|NULL
CreditNoteLines|LineTotal|decimal|YES|NULL
CreditNoteLines|Reason|varchar|YES|30
CreditNoteLines|Comments|nvarchar|YES|255
CreditNoteLines|ItemCode|nvarchar|YES|80
CreditNoteLines|ItemName|nvarchar|YES|200
CreditNotes|CreditNoteID|int|NO|NULL
CreditNotes|CreditNoteNumber|varchar|NO|30
CreditNotes|SupplierID|int|NO|NULL
CreditNotes|BranchID|int|NO|NULL
CreditNotes|GRNID|int|YES|NULL
CreditNotes|PurchaseOrderID|int|YES|NULL
CreditNotes|CreditDate|date|NO|NULL
CreditNotes|TotalAmount|decimal|NO|NULL
CreditNotes|Status|nvarchar|NO|20
CreditNotes|Reason|nvarchar|YES|255
CreditNotes|Reference|nvarchar|YES|50
CreditNotes|Notes|nvarchar|YES|255
CreditNotes|CreatedDate|datetime2|NO|NULL
CreditNotes|CreatedBy|int|NO|NULL
CreditNotes|IsPosted|bit|NO|NULL
CreditNotes|PostedDate|datetime2|YES|NULL
CreditNotes|PostedBy|int|YES|NULL
CriticalIssues|IssueID|int|NO|NULL
CriticalIssues|Timestamp|datetime2|YES|NULL
CriticalIssues|Module|nvarchar|NO|100
CriticalIssues|Feature|nvarchar|NO|100
CriticalIssues|Message|nvarchar|NO|-1
CriticalIssues|Priority|nvarchar|YES|20
CriticalIssues|Status|nvarchar|YES|20
CriticalIssues|ResolvedBy|nvarchar|YES|100
CriticalIssues|ResolvedDate|datetime2|YES|NULL
CriticalIssues|Resolution|nvarchar|YES|-1
DailyExpenses|ExpenseID|int|NO|NULL
DailyExpenses|ExpenseTypeID|int|NO|NULL
DailyExpenses|ExpenseDate|date|NO|NULL
DailyExpenses|Amount|decimal|NO|NULL
DailyExpenses|BranchID|int|YES|NULL
DailyExpenses|Reference|nvarchar|YES|50
DailyExpenses|Description|nvarchar|YES|255
DailyExpenses|CreatedBy|int|YES|NULL
DailyExpenses|CreatedDate|datetime|NO|NULL
DailyOrderBook|BookDate|date|NO|NULL
DailyOrderBook|BranchID|int|NO|NULL
DailyOrderBook|ProductID|int|NO|NULL
DailyOrderBook|SKU|nvarchar|YES|50
DailyOrderBook|ProductName|nvarchar|YES|200
DailyOrderBook|OrderNumber|nvarchar|YES|50
DailyOrderBook|InternalOrderID|int|YES|NULL
DailyOrderBook|OrderQty|decimal|YES|NULL
DailyOrderBook|RequestedAtUtc|datetime2|YES|NULL
DailyOrderBook|RequestedBy|int|YES|NULL
DailyOrderBook|RequestedByName|nvarchar|YES|128
DailyOrderBook|ManufacturerUserID|int|YES|NULL
DailyOrderBook|ManufacturerName|nvarchar|YES|128
DailyOrderBook|StockroomFulfilledAtUtc|datetime2|YES|NULL
DailyOrderBook|ManufacturingCompletedAtUtc|datetime2|YES|NULL
DailyOrderBook|CreatedAtUtc|datetime2|NO|NULL
DailyOrderBook|UpdatedAtUtc|datetime2|YES|NULL
Decorations|DecorationID|int|NO|NULL
Decorations|DecorationCode|varchar|NO|50
Decorations|DecorationName|nvarchar|NO|100
Decorations|DefaultUoMID|int|YES|NULL
Decorations|Notes|nvarchar|YES|255
Decorations|IsActive|bit|NO|NULL
Decorations|CreatedDate|datetime|NO|NULL
Decorations|CurrentCost|decimal|YES|NULL
Decorations|LastPaidCost|decimal|YES|NULL
Decorations|LastPurchaseDate|datetime|YES|NULL
Decorations|LastSupplierID|int|YES|NULL
Decorations|UoMID|int|YES|NULL
Departments|DepartmentID|int|NO|NULL
Departments|DepartmentName|nvarchar|NO|50
DocumentNumbering|DocumentType|varchar|NO|20
DocumentNumbering|Prefix|nvarchar|YES|10
DocumentNumbering|NextNumber|int|NO|NULL
DocumentNumbering|NumberLength|int|NO|NULL
DocumentNumbering|BranchSpecific|bit|YES|NULL
DocumentNumbering|LastUsedNumber|varchar|YES|50
DocumentNumbering|LastUsedDate|datetime|YES|NULL
DocumentNumbering|ModifiedDate|datetime|YES|NULL
DocumentNumbering|ModifiedBy|int|YES|NULL
DocumentNumbering|BranchID|int|YES|NULL
DocumentNumbering|ModuleCode|nvarchar|NO|5
DocumentNumbering|DocumentNumberingID|int|NO|NULL
EMP201Returns|EMP201ReturnID|int|NO|NULL
EMP201Returns|PeriodStart|date|NO|NULL
EMP201Returns|PeriodEnd|date|NO|NULL
EMP201Returns|DueDate|date|NO|NULL
EMP201Returns|Status|varchar|NO|20
EMP201Returns|TotalPAYE|decimal|NO|NULL
EMP201Returns|TotalUIF|decimal|NO|NULL
EMP201Returns|TotalSDL|decimal|NO|NULL
EMP201Returns|TotalETI|decimal|NO|NULL
EMP201Returns|TotalLiability|decimal|NO|NULL
EMP201Returns|EmployeeCount|int|NO|NULL
EMP201Returns|SubmissionDate|datetime2|YES|NULL
EMP201Returns|SARSReference|varchar|YES|50
EMP201Returns|ExportedFilePath|nvarchar|YES|500
EMP201Returns|BranchID|int|NO|NULL
EMP201Returns|CreatedBy|int|NO|NULL
EMP201Returns|CreatedAt|datetime2|NO|NULL
EMP201Returns|UpdatedBy|int|YES|NULL
EMP201Returns|UpdatedAt|datetime2|YES|NULL
Employees|EmployeeID|int|NO|NULL
Employees|EmployeeNumber|varchar|NO|20
Employees|FirstName|nvarchar|NO|50
Employees|LastName|nvarchar|NO|50
Employees|IDNumber|varchar|NO|13
Employees|TaxNumber|varchar|YES|20
Employees|PassportNumber|varchar|YES|20
Employees|DateOfBirth|date|NO|NULL
Employees|Gender|char|NO|1
Employees|MaritalStatus|varchar|NO|20
Employees|Email|varchar|YES|100
Employees|PhoneNumber|varchar|YES|20
Employees|Address|nvarchar|YES|255
Employees|City|nvarchar|YES|50
Employees|PostalCode|varchar|YES|10
Employees|HireDate|date|NO|NULL
Employees|TerminationDate|date|YES|NULL
Employees|JobTitle|nvarchar|NO|100
Employees|Department|nvarchar|YES|50
Employees|BasicSalary|decimal|NO|NULL
Employees|TaxDirective|varchar|YES|50
Employees|MedicalAidNumber|varchar|YES|50
Employees|MedicalAidDependents|int|NO|NULL
Employees|PensionFundNumber|varchar|YES|50
Employees|BranchID|int|NO|NULL
Employees|IsActive|bit|NO|NULL
Employees|CreatedBy|int|NO|NULL
Employees|CreatedAt|datetime2|NO|NULL
Employees|UpdatedBy|int|YES|NULL
Employees|UpdatedAt|datetime2|YES|NULL
Employees|HourlyRate|decimal|YES|NULL
Employees|PaymentType|nvarchar|YES|20
ExpenseCategories|CategoryID|int|NO|NULL
ExpenseCategories|CategoryCode|nvarchar|NO|20
ExpenseCategories|CategoryName|nvarchar|NO|100
ExpenseCategories|AccountNumber|nvarchar|YES|20
ExpenseCategories|IsActive|bit|YES|NULL
ExpenseCategories|CreatedDate|datetime2|YES|NULL
Expenses|ExpenseID|int|NO|NULL
Expenses|ExpenseCode|varchar|NO|20
Expenses|ExpenseName|nvarchar|NO|150
Expenses|ExpenseTypeID|int|NO|NULL
Expenses|CategoryID|int|YES|NULL
Expenses|SubcategoryID|int|YES|NULL
Expenses|IsActive|bit|NO|NULL
Expenses|Notes|nvarchar|YES|255
Expenses|CreatedDate|datetime|NO|NULL
Expenses|ModifiedDate|datetime|YES|NULL
ExpenseTypes|ExpenseTypeID|int|NO|NULL
ExpenseTypes|Code|varchar|NO|20
ExpenseTypes|Name|nvarchar|NO|100
ExpenseTypes|IsActive|bit|NO|NULL
ExpenseTypes|CreatedDate|datetime|NO|NULL
ExpenseTypes|CreatedBy|int|YES|NULL
ExpenseTypes|ModifiedDate|datetime|YES|NULL
ExpenseTypes|ModifiedBy|int|YES|NULL
ExpenseTypes|ExpenseTypeCode|varchar|YES|12
ExpenseTypes|ExpenseTypeName|nvarchar|YES|100
ExpenseTypes|TypeGroup|varchar|YES|12
FeatureCatalog|FeatureKey|nvarchar|NO|100
FeatureCatalog|DisplayName|nvarchar|NO|150
FeatureCatalog|Category|nvarchar|NO|50
FiscalPeriods|PeriodID|int|NO|NULL
FiscalPeriods|PeriodName|nvarchar|NO|50
FiscalPeriods|StartDate|date|NO|NULL
FiscalPeriods|EndDate|date|NO|NULL
FiscalPeriods|IsClosed|bit|YES|NULL
FiscalPeriods|ClosedDate|datetime|YES|NULL
FiscalPeriods|ClosedBy|int|YES|NULL
GLAccountMappings|MappingID|int|NO|NULL
GLAccountMappings|MappingKey|varchar|NO|50
GLAccountMappings|AccountID|int|YES|NULL
GLAccountMappings|BranchID|int|YES|NULL
GLAccountMappings|ModifiedDate|datetime|NO|NULL
GLAccountMappings|ModifiedBy|int|YES|NULL
GLAccounts|AccountID|int|NO|NULL
GLAccounts|AccountNumber|varchar|NO|20
GLAccounts|AccountName|nvarchar|NO|100
GLAccounts|AccountType|varchar|NO|20
GLAccounts|BalanceType|char|NO|1
GLAccounts|ParentAccountID|int|YES|NULL
GLAccounts|IsSystem|bit|YES|NULL
GLAccounts|IsActive|bit|YES|NULL
GLAccounts|OpeningBalance|decimal|YES|NULL
GoodsReceivedNotes|GRNID|int|NO|NULL
GoodsReceivedNotes|PurchaseOrderID|int|YES|NULL
GoodsReceivedNotes|GRNNumber|nvarchar|YES|50
GoodsReceivedNotes|SupplierID|int|YES|NULL
GoodsReceivedNotes|DeliveryNote|nvarchar|YES|100
GoodsReceivedNotes|ReceivedDate|datetime|YES|NULL
GoodsReceivedNotes|ReceivedBy|int|YES|NULL
GoodsReceivedNotes|TotalValue|decimal|YES|NULL
GoodsReceivedNotes|TotalAmount|decimal|YES|NULL
GoodsReceivedNotes|Status|nvarchar|YES|20
GoodsReceivedNotes|Notes|nvarchar|YES|500
GoodsReceivedNotes|CreatedDate|datetime|YES|NULL
GoodsReceivedNotes|CreatedBy|int|YES|NULL
GoodsReceivedNotes|BranchID|int|YES|NULL
GoodsReceivedNotes|DeliveryNoteNumber|nvarchar|YES|50
GRNLines|GRNLineID|int|NO|NULL
GRNLines|GRNID|int|NO|NULL
GRNLines|POLineID|int|YES|NULL
GRNLines|MaterialID|int|YES|NULL
GRNLines|ProductID|int|YES|NULL
GRNLines|ItemSource|nvarchar|YES|2
GRNLines|OrderedQuantity|decimal|YES|NULL
GRNLines|ReceivedQuantity|decimal|YES|NULL
GRNLines|UnitCost|decimal|YES|NULL
GRNLines|TotalAmount|decimal|YES|NULL
GRNLines|LineTotal|decimal|YES|NULL
GRNLines|Key|nvarchar|YES|50
GRNLines|Value|nvarchar|YES|255
GRNLines|Description|nvarchar|YES|500
GRNLines|Reference|nvarchar|YES|100
GRNLines|Notes|nvarchar|YES|500
GRNLines|CreatedDate|datetime|YES|NULL
GRNLines|CreatedBy|int|YES|NULL
GRNLines|ModifiedDate|datetime|YES|NULL
GRNLines|ModifiedBy|int|YES|NULL
IncomeCategories|CategoryID|int|NO|NULL
IncomeCategories|CategoryCode|nvarchar|NO|20
IncomeCategories|CategoryName|nvarchar|NO|100
IncomeCategories|AccountNumber|nvarchar|YES|20
IncomeCategories|IsActive|bit|YES|NULL
IncomeCategories|CreatedDate|datetime2|YES|NULL
InterBranchTransferHeader|TransferID|int|NO|NULL
InterBranchTransferHeader|RequestID|int|YES|NULL
InterBranchTransferHeader|FromBranchID|int|NO|NULL
InterBranchTransferHeader|ToBranchID|int|NO|NULL
InterBranchTransferHeader|TransferDate|datetime2|NO|NULL
InterBranchTransferHeader|Status|nvarchar|NO|20
InterBranchTransferHeader|INT_PO_Number|nvarchar|YES|40
InterBranchTransferHeader|INTER_INV_Number|nvarchar|YES|40
InterBranchTransferHeader|CreatedBy|int|YES|NULL
InterBranchTransferHeader|CreatedAt|datetime2|NO|NULL
InterBranchTransferLine|TransferLineID|int|NO|NULL
InterBranchTransferLine|TransferID|int|NO|NULL
InterBranchTransferLine|ProductID|int|NO|NULL
InterBranchTransferLine|VariantID|int|YES|NULL
InterBranchTransferLine|Quantity|decimal|NO|NULL
InterBranchTransferLine|UnitCost|decimal|YES|NULL
InterBranchTransferLine|Notes|nvarchar|YES|200
InterBranchTransferRequestHeader|RequestID|int|NO|NULL
InterBranchTransferRequestHeader|FromBranchID|int|NO|NULL
InterBranchTransferRequestHeader|ToBranchID|int|NO|NULL
InterBranchTransferRequestHeader|RequestDate|datetime2|NO|NULL
InterBranchTransferRequestHeader|Status|nvarchar|NO|20
InterBranchTransferRequestHeader|RequestedBy|int|YES|NULL
InterBranchTransferRequestHeader|Notes|nvarchar|YES|400
InterBranchTransferRequestLine|RequestLineID|int|NO|NULL
InterBranchTransferRequestLine|RequestID|int|NO|NULL
InterBranchTransferRequestLine|ProductID|int|NO|NULL
InterBranchTransferRequestLine|VariantID|int|YES|NULL
InterBranchTransferRequestLine|Quantity|decimal|NO|NULL
InterBranchTransferRequestLine|Notes|nvarchar|YES|200
InterBranchTransfers|TransferID|int|NO|NULL
InterBranchTransfers|TransferNumber|nvarchar|NO|50
InterBranchTransfers|FromBranchID|int|NO|NULL
InterBranchTransfers|ToBranchID|int|NO|NULL
InterBranchTransfers|ProductID|int|NO|NULL
InterBranchTransfers|Quantity|decimal|NO|NULL
InterBranchTransfers|UnitCost|decimal|NO|NULL
InterBranchTransfers|TotalValue|decimal|NO|NULL
InterBranchTransfers|TransferDate|datetime|NO|NULL
InterBranchTransfers|Reference|nvarchar|YES|200
InterBranchTransfers|Status|nvarchar|NO|20
InterBranchTransfers|CreatedBy|int|YES|NULL
InterBranchTransfers|CreatedDate|datetime|NO|NULL
InterBranchTransfers|CompletedBy|int|YES|NULL
InterBranchTransfers|CompletedDate|datetime|YES|NULL
InternalOrderAudit|AuditID|int|NO|NULL
InternalOrderAudit|InternalOrderID|int|NO|NULL
InternalOrderAudit|EventType|nvarchar|NO|20
InternalOrderAudit|EventAt|datetime2|NO|NULL
InternalOrderAudit|ActorUserID|int|YES|NULL
InternalOrderAudit|Notes|nvarchar|YES|255
InternalOrderHeader|InternalOrderID|int|NO|NULL
InternalOrderHeader|InternalOrderNo|nvarchar|NO|30
InternalOrderHeader|FromLocationID|int|NO|NULL
InternalOrderHeader|ToLocationID|int|NO|NULL
InternalOrderHeader|RequestedBy|int|YES|NULL
InternalOrderHeader|RequestedDate|datetime2|NO|NULL
InternalOrderHeader|Status|nvarchar|NO|20
InternalOrderHeader|Notes|nvarchar|YES|255
InternalOrderLines|InternalOrderLineID|int|NO|NULL
InternalOrderLines|InternalOrderID|int|NO|NULL
InternalOrderLines|LineNumber|int|NO|NULL
InternalOrderLines|ItemType|nvarchar|NO|20
InternalOrderLines|RawMaterialID|int|YES|NULL
InternalOrderLines|ProductID|int|YES|NULL
InternalOrderLines|Quantity|decimal|NO|NULL
InternalOrderLines|UoM|nvarchar|NO|20
InternalOrderLines|Notes|nvarchar|YES|255
Inventory|InventoryID|int|NO|NULL
Inventory|MaterialID|int|NO|NULL
Inventory|BranchID|int|YES|NULL
Inventory|Location|nvarchar|NO|50
Inventory|Batch|nvarchar|YES|50
Inventory|QuantityOnHand|decimal|NO|NULL
Inventory|QuantityAllocated|decimal|NO|NULL
Inventory|QuantityAvailable|decimal|YES|NULL
Inventory|UnitCost|decimal|NO|NULL
Inventory|TotalCost|decimal|YES|NULL
Inventory|LastReceived|datetime|YES|NULL
Inventory|LastIssued|datetime|YES|NULL
Inventory|LastUpdated|datetime|NO|NULL
Inventory|ExpiryDate|datetime|YES|NULL
Inventory|IsActive|bit|NO|NULL
Inventory|CreatedDate|datetime|NO|NULL
Inventory|CreatedBy|int|NO|NULL
Inventory|ModifiedDate|datetime|YES|NULL
Inventory|ModifiedBy|int|YES|NULL
InventoryItemCostHistory|HistoryID|int|NO|NULL
InventoryItemCostHistory|ItemType|varchar|NO|20
InventoryItemCostHistory|ItemID|int|NO|NULL
InventoryItemCostHistory|SupplierID|int|YES|NULL
InventoryItemCostHistory|UoMID|int|YES|NULL
InventoryItemCostHistory|UnitCost|decimal|NO|NULL
InventoryItemCostHistory|Quantity|decimal|YES|NULL
InventoryItemCostHistory|Currency|varchar|YES|10
InventoryItemCostHistory|PaidDate|datetime|YES|NULL
InventoryItemCostHistory|InvoiceNumber|nvarchar|YES|50
InventoryItemCostHistory|Notes|nvarchar|YES|255
InventoryItemCostHistory|CreatedDate|datetime|NO|NULL
InventoryItemCostHistory|BranchID|int|NO|NULL
InventoryLocations|LocationID|int|NO|NULL
InventoryLocations|BranchID|int|YES|NULL
InventoryLocations|LocationCode|nvarchar|NO|20
InventoryLocations|LocationName|nvarchar|NO|100
InventoryLocations|IsActive|bit|NO|NULL
InventoryLocations|CreatedDate|datetime2|NO|NULL
InventoryTransactions|InventoryTransactionID|int|NO|NULL
InventoryTransactions|MaterialID|int|NO|NULL
InventoryTransactions|BranchID|int|YES|NULL
InventoryTransactions|Location|nvarchar|NO|50
InventoryTransactions|TransactionType|nvarchar|NO|20
InventoryTransactions|TransactionDate|datetime|NO|NULL
InventoryTransactions|ReferenceType|nvarchar|YES|20
InventoryTransactions|ReferenceID|int|YES|NULL
InventoryTransactions|ReferenceNumber|nvarchar|YES|50
InventoryTransactions|Quantity|decimal|NO|NULL
InventoryTransactions|UnitCost|decimal|NO|NULL
InventoryTransactions|TotalCost|decimal|NO|NULL
InventoryTransactions|RunningBalance|decimal|NO|NULL
InventoryTransactions|Notes|nvarchar|YES|500
InventoryTransactions|CreatedDate|datetime|NO|NULL
InventoryTransactions|CreatedBy|int|NO|NULL
InventoryTransactions|JournalEntryID|int|YES|NULL
InventoryTransactions|IsPosted|bit|NO|NULL
InventoryTransactions|PostedDate|datetime|YES|NULL
InventoryTransactions|PostedBy|int|YES|NULL
InvoiceLines|InvoiceLineID|int|NO|NULL
InvoiceLines|InvoiceID|int|NO|NULL
InvoiceLines|POLineID|int|YES|NULL
InvoiceLines|MaterialID|int|YES|NULL
InvoiceLines|ReceiveNow|decimal|NO|NULL
InvoiceLines|UnitCost|decimal|NO|NULL
Invoices|InvoiceID|int|NO|NULL
Invoices|PurchaseOrderID|int|NO|NULL
Invoices|SupplierID|int|YES|NULL
Invoices|GRNID|int|YES|NULL
Invoices|SupplierInvoiceNo|nvarchar|YES|50
Invoices|InvoiceDate|date|YES|NULL
Invoices|Total|decimal|NO|NULL
Invoices|CreatedDate|datetime2|YES|NULL
Invoices|CreatedBy|int|YES|NULL
IRP5Certificates|IRP5CertificateID|int|NO|NULL
IRP5Certificates|EmployeeID|int|NO|NULL
IRP5Certificates|TaxYear|int|NO|NULL
IRP5Certificates|CertificateNumber|varchar|NO|20
IRP5Certificates|GrossIncome|decimal|NO|NULL
IRP5Certificates|Allowances|decimal|NO|NULL
IRP5Certificates|TaxableBenefits|decimal|NO|NULL
IRP5Certificates|Deductions|decimal|NO|NULL
IRP5Certificates|TaxableIncome|decimal|NO|NULL
IRP5Certificates|PAYEDeducted|decimal|NO|NULL
IRP5Certificates|UIFContributions|decimal|NO|NULL
IRP5Certificates|PensionContributions|decimal|NO|NULL
IRP5Certificates|MedicalAidContributions|decimal|NO|NULL
IRP5Certificates|EmploymentStartDate|date|YES|NULL
IRP5Certificates|EmploymentEndDate|date|YES|NULL
IRP5Certificates|Status|varchar|NO|20
IRP5Certificates|IssuedDate|date|YES|NULL
IRP5Certificates|ExportedFilePath|nvarchar|YES|500
