Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
7.19,OD200,,Candle Numeral 3 Rainbow,candle,external,8009,Candle Numeral 3 Rainbow,,CAN-RAI-003,13,,OD200 - Ayesha Centre
0,OD200,,Candle Numeral 4 Rainbow,candle,external,8010,Candle Numeral 4 Rainbow,,CAN-RAI-004,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 5 Rainbow,candle,external,8011,Candle Numeral 5 Rainbow,,CAN-RAI-005,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 6 Rainbow,candle,external,8012,Candle Numeral 6 Rainbow,,CAN-RAI-006,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 7 Rainbow,candle,external,8013,Candle Numeral 7 Rainbow,,CAN-RAI-007,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 8 Rainbow,candle,external,8014,candle numeral 8 Rainbow,,CAN-RAI-008,13,,OD200 - Ayesha Centre
7.19,OD200,,Candle Numeral 9 Rainbow,candle,external,8015,Candle Numeral 9 Rainbow,,CAN-RAI-009,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 0 Silver,candle,external,0,Candle Numeral 0 Silver,,CAN-SIL-000,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 1 Silver,candle,external,0,Candle Numeral 1 Silver,,CAN-SIL-001,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 2 Silver,candle,external,0,Candle Numeral 2 Silver,,CAN-SIL-002,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 3 Silver,candle,external,0,Candle Numeral 3 Silver,,CAN-SIL-003,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 4 Silver,candle,external,0,Candle Numeral 4 Silver,,CAN-SIL-004,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 5 Silver,candle,external,0,Candle Numeral 5 Silver,,CAN-SIL-005,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 6 Silver,candle,external,0,Candle Numeral 6 Silver,,CAN-SIL-006,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 7 Silver,candle,external,0,Candle Numeral 7 Silver,,CAN-SIL-007,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 8 Silver,candle,external,0,Candle Numeral 8 Silver,,CAN-SIL-008,22,,OD200 - Ayesha Centre
16.5,OD200,,Candle Numeral 9 Silver,candle,external,0,Candle Numeral 9 Silver,,CAN-SIL-009,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 0 White,candle,external,8025,Candle Numeral 0 White,,CAN-WHI-000,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 1 White,candle,external,8016,Candle Numeral 1 White,,CAN-WHI-001,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 2 White,candle,external,8017,Candle Numeral 2 White,,CAN-WHI-002,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 3 White,candle,external,8018,Candle Numeral 3 White,,CAN-WHI-003,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 4 White,candle,external,8019,Candle Numeral 4 White,,CAN-WHI-004,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 5 White,candle,external,8020,Candle Numeral 5 White,,CAN-WHI-005,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 6 White,candle,external,8021,Candle Numeral 6 White,,CAN-WHI-006,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 7 White,candle,external,8022,Candle Numeral 7 White,,CAN-WHI-007,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 8 White,candle,external,8023,Candle Numeral 8 White,,CAN-WHI-008,22,,OD200 - Ayesha Centre
12.83,OD200,,Candle Numeral 9 White,candle,external,8024,Candle Numeral 9 White,,CAN-WHI-009,22,,OD200 - Ayesha Centre
0,OD200,,BD 14'' Buttercream Alphabet Cake,novelty,internal,0,BD 14'' Buttercream Alphabet Cake,,CBA-BAC-014,640,,OD200 - Ayesha Centre
0,OD200,,BD 16'' Eggless Buttercream Alphabet Cake,novelty,internal,0,BD 16'' Eggless Buttercream Alphabet Cake,,CBA-BEA-016,830,,OD200 - Ayesha Centre
0,OD200,,BC Birthday Gateaux,buttercream cake,internal,11001,BC Birthday Gateaux,,CBC-BBG-EAC,135,,OD200 - Ayesha Centre
0,OD200,,Icing Cup Cakes,buttercream cake,internal,30337,Icing Cup Cakes,,CBC-BCC-EAC,18,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Delight,buttercream cake,internal,11004,BC Chocolate Delight,,CBC-BCD-EAC,19,,OD200 - Ayesha Centre
0,OD200,,BC Eggless Vanilla Gateaux,buttercream cake,internal,0,BC Eggless Vanilla Gateaux,,CBC-BCE-EAC,140,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Gateaux,buttercream cake,internal,11003,BC Chocolate Gateaux,,CBC-BCG-EAC,125,,OD200 - Ayesha Centre
0,OD200,,Icing Cup Cakes With Name,buttercream cake,internal,30339,Icing Cup Cakes With Name,,CBC-BCN-EAC,20,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Slice,buttercream cake,internal,11005,BC Chocolate Slice,,CBC-BCS-EAC,19,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Slice,buttercream cake,internal,11005,BC Chocolate Slice,,CBC-BCS-EAC,19,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Slice,buttercream cake,internal,11005,BC Chocolate Slice,,CBC-BCS-EAC,19,,OD200 - Ayesha Centre
0,OD200,,BC Chocolate Slice,buttercream cake,internal,11005,BC Chocolate Slice,,CBC-BCS-EAC,19,,OD200 - Ayesha Centre
0,OD200,,BC Doughnut,buttercream cake,internal,11016,BC Doughnut,,CBC-BDN-EAC,14,,OD200 - Ayesha Centre
0,OD200,,BC Eggless Birthday Gateaux,buttercream cake,internal,11040,BC Eggless Birthday Gateaux,,CBC-BEG-EAC,150,,OD200 - Ayesha Centre
0,OD200,,BC Smash Choc Rose Pattern Gateaux,buttercream cake,internal,11042,BC Smash Choc Rose Pattern Gateaux,,CBC-BRG-EAC,380,,OD200 - Ayesha Centre
0,OD200,,Christmas Buttercream Gateaux,buttercream cake,internal,11097,Christmas Buttercream Gateaux,,CBC-CBG-EAC,110,,OD200 - Ayesha Centre
0,OD200,,Chocolate Doughnut,buttercream cake,internal,11018,Chocolate Doughnut,,CBC-CDN-EAC,14,,OD200 - Ayesha Centre
0,OD200,,Coconut Tartlet,biuttercream cake,internal,11032,Coconut Tartlet,,CBC-CNL-EAC,18,,OD200 - Ayesha Centre
0,OD200,,Coconut Ring,buttercream cake,internal,11030,Coconut Ring,,CBC-CNR-EAC,18,,OD200 - Ayesha Centre
0,OD200,,Coconut Slice,buttercream cake,internal,11008,Coconut Slice,,CBC-CNS-EAC,14,,OD200 - Ayesha Centre
0,OD200,,Cream Puff,buttercream figure,internal,11034,Cream Puff,,CBC-CRP-EAC,17,,OD200 - Ayesha Centre
0,OD200,,Currant Square,buttercream cake,internal,11035,Currant Square,,CBC-CUS-EAC,17,,OD200 - Ayesha Centre
0,OD200,,BD 1MX500 BC Eggless,buttercream 1mx500,internal,0,BD 1MX500 BC Eggless,,CBC-EB1-1M,3100,,OD200 - Ayesha Centre
0,OD200,,Flakey Bits,buttercream cake,internal,11036,Flakey Bits,,CBC-FLA-EAC,17,,OD200 - Ayesha Centre
0,OD200,,Jam Puff,buttercream cake,internal,11037,Jam Puff,,CBC-JAP-EAC,17,,OD200 - Ayesha Centre
0,OD200,,Jam Doughnut,buttercream cake,internal,11019,Jam Doughnut,,CBC-JDN-EAC,12,,OD200 - Ayesha Centre
0,OD200,,Jam Turnover,buttercream cake,internal,11039,Jam Turnover,,CBC-JTO-EAC,17,,OD200 - Ayesha Centre
0,OD200,,Koeksuster 1s,buttercream cake,internal,11020,Koeksuster 1s,,CBC-KOE-EAC,13,,OD200 - Ayesha Centre
32,OD200,,Choc Lamington Plain,buttercream cake,internal,11009,Choc Lamington Plain,,CBC-LPC-EAC,15,,OD200 - Ayesha Centre
32,OD200,,Raspberry Lamington Plain,buttercream cake,internal,11010,Raspberry Lamington Plain,,CBC-LPR-EAC,15,,OD200 - Ayesha Centre
0,OD200,,Mini Buttercream D/N,buttercream,internal,11043,Mini Buttercream D/N,,CBC-MBD-EAC,11,,OD200 - Ayesha Centre
0,OD200,,Mothers Day Buttercream Gateaux,buttercream cake,internal,11098,Mothers Day Buttercream Gateaux,,CBC-MBG-EAC,140,,OD200 - Ayesha Centre
0,OD200,,Mini Chocolate D/N,buttercream cake,internal,11044,Mini Chocolate D/N,,CBC-MCD-EAC,11,,OD200 - Ayesha Centre
0,OD200,,Mini Lamington Chocolate Plain,shop front,internal,0,Mini Lamington Chocolate Plain,,CBC-MCL-EAC,11.5,,OD200 - Ayesha Centre
0,OD200,,Melting Moments 40g (Round),sweet,external,11021,Melting Moments 40g (Round),,CBC-MEL-40G,13,,OD200 - Ayesha Centre
0,OD200,,Melting Moments 60g (Long),buttercream cake,internal,11023,Melting Moments 60g (Long),,CBC-MEL-60G,15,,OD200 - Ayesha Centre
0,OD200,,Mini F/BITS,buttercream cake,internal,11045,Mini F/BITS,,CBC-MFL-EAC,11.5,,OD200 - Ayesha Centre
0,OD200,,Mini Lamington Raspberry Plain,buttercream cake,internal,0,Mini Lamington Raspberry Plain,,CBC-MRL-EAC,11.5,,OD200 - Ayesha Centre
0,OD200,,Mini Lamington Raspberry Plain,buttercream cake,internal,0,Mini Lamington Raspberry Plain,,CBC-MRL-EAC,11.5,,OD200 - Ayesha Centre
0,OD200,,Mini Lamington Raspberry Plain,buttercream cake,internal,0,Mini Lamington Raspberry Plain,,CBC-MRL-EAC,11.5,,OD200 - Ayesha Centre
0,OD200,,Mini S/B,buttercream cake,internal,11046,Mini S/B,,CBC-MSB-EACH,11.5,,OD200 - Ayesha Centre
0,OD200,,Muesli Slice,buttercream cake,internal,11007,Muesli Slice,,CBC-MUE-EAC,18,,OD200 - Ayesha Centre
0,OD200,,BD Picture Cup Cakes,buttercream cakes,internal,30338,BD Picture Cup Cakes,,CBC-PCC-EAC,20,,OD200 - Ayesha Centre
0,OD200,,Queen Cakes 1s,buttercream cake,internal,11011,Queen Cakes 1s,,CBC-QUC-EAC,11,,OD200 - Ayesha Centre
0,OD200,,Snowballs 1s,buttercream cake,internal,11013,Snowballs 1s,,CBC-SNO-EAC,16,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream Figure 18,buttercream figure cake,internal,10088,BD Buttercream Figure 18,,CBF-BCF-018,850,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream Figure 20,buttercream figure,internal,10090,BD Buttercream Figure 20,,CBF-BCF-020,900,,OD200 - Ayesha Centre
0,OD200,,BD 20 Buttercream Figure on Base Eggless,buttercream figure,internal,10199,BD 20 Buttercream Figure on Base Eggless,,CBF-BFE-020,1000,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream Fig on SL 18,buttercream figure cake,internal,10092,BD Buttercream Fig on SL 18,,CBF-BFS-018,940,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream Fig on SL 20,buttercream figure cake,internal,10094,BD Buttercream Fig on SL 20,,CBF-BFS-020,990,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 14 Black Forest,freshcream square black forest,internal,12001,BD Freshcream 14 Black Forest,,CBF-BLF-014,740,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 16 Blackforest,freshcream blackforest,internal,12020,BD Freshcream 16 Blackforest,,CBF-BLF-016,800,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 14 DL,freshcream square,internal,10039,BD Freshcream 14 DL,,CBF-FCD-014,470,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream Figure 18,freshcream figure cake,internal,10089,BD Freshcream Figure 18,,CBF-FCF-018,900,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream Figure 20,freshcream figure,internal,10091,BD Freshcream Figure 20,,CBF-FCF-020,950,,OD200 - Ayesha Centre
0,OD200,,BD 20 Freshcream Figure Only Eggless,freshcream figure,internal,0,BD 20 Freshcream Figure Only Eggless,,CBF-FF0-020,1300,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream Figure on Base Eggless 20,freshcream figure cake,internal,10198,BD Freshcream Figure on Base Eggless 20,,CBF-FFE-020,1150,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream Fig on SL 18,freshcream figure cake,internal,10093,BD Freshcream Fig on SL 18,,CBF-FFS-018,990,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream Fig on SL 20,freshcream figure,internal,10095,BD Freshcream Fig on SL 20,,CBF-FFS-020,1040,,OD200 - Ayesha Centre
0,OD200,,BD 20 Buttercream Figure Only Eggless,buttercream figure,internal,0,BD 20 Buttercream Figure Only Eggless,,CBF-FOE-020,1250,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 1MX1M,novelty,internal,0,BD Buttercream 1MX1M,,CBN-B1M-EACH,5500,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 1M X1M,novelty,internal,0,BD Freshcream 1M X1M,,CBN-F1M-EACH,5700,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 12 Round,buttercream cake round,internal,10105,BD Buttercream 12 Round,,CBR-BCR-012,420,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 14 Round,buttercream cake round,internal,10107,BD Buttercream 14 Round,,CBR-BCR-014,450,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 16 Round,buttercream round,internal,10109,BD Buttercream 16 Round,,CBR-BCR-016,480,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 18 Round,buttercream cake round,internal,10104,BD Buttercream 18 Round,,CBR-BCR-018,570,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 20 Round,buttercream round,internal,10112,BD Buttercream 20 Round,,CBR-BCR-020,610,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 12 Round,freshcream cake round,internal,10106,BD Freshcream 12 Round,,CBR-FCR-012,460,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 14 Round,freshcream cake round,internal,10108,BD Freshcream 14 Round,,CBR-FCR-014,490,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 16 Round,freashcream round,internal,10110,BD Freshcream 16 Round,,CBR-FCR-016,520,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 18 Round,freshcream round,internal,10111,BD Freshcream 18 Round,,CBR-FCR-018,620,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 20 Round,freshcream round,internal,10113,BD Freshcream 20 Round,,CBR-FCR-020,660,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 12 DL,buttercream square,internal,10005,BD Buttercream 12 DL,,CBS-BCD-012,400,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 14 DL,buttercream square,internal,10007,BD Buttercream 14 DL,,CBS-BCD-014,430,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 16 DL,buttercream square,internal,10011,BD Buttercream 16 DL,,CBS-BCD-016,460,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 18 DL,buttercream square cake,internal,10015,BD Buttercream 18 DL,,CBS-BCD-018,550,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 20 DL,buttercream square,internal,10018,BD Buttercream 20 DL,,CBS-BCD-020,590,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 22 DL,buttercream square,internal,10031,BD Buttercream 22 DL,,CBS-BCD-022,770,,OD200 - Ayesha Centre
0,OD200,,BD 16 BC DL Eggless,buttercream square,internal,10033,BD 16 BC DL Eggless,,CBS-BCE-016,520,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 12 Black Forest,freshcream black forest,internal,10078,BD Freshcream 12 Black Forest,,CBS-BLF-012,670,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 12 DL,freshcream square,internal,10037,BD Freshcream 12 DL,,CBS-FCD-012,440,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 16 DL,freshcream square,internal,10041,BD Freshcream 16 DL,,CBS-FCD-016,500,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 18 DL,freshcream square,internal,10045,BD Freshcream 18 DL,,CBS-FCD-018,600,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 20 DL,frsshcream square,internal,10050,BD Freshcream 20 DL,,CBS-FCD-020,640,,OD200 - Ayesha Centre
0,OD200,,BD Freshcream 22 DL,freshcream square,internal,10054,BD Freshcream 22 DL,,CBS-FCD-022,830,,OD200 - Ayesha Centre
0,OD200,,BD 16 Freshcream Eggless,freshcream square,internal,10103,BD 16 Freshcream Eggless,,CBS-FCE-016,560,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 3 Tier Stacked,wedding cake,internal,10102,BD Buttercream 3 Tier Stacked,,CBW-CAK-003,2900,,OD200 - Ayesha Centre
0,OD200,,BD Buttercream 2Tier Stacked 12 16,wedding cake,internal,10289,BD Buttercream 2Tier Stacked 12 16,,CBW-STA-EAC,2100,,OD200 - Ayesha Centre
0,OD200,,New York Baked Cheese Cake Round,exotic cakes,internal,30665,New York Baked Cheese Cake Round,,CEX -NYW-EAC,400,,OD200 - Ayesha Centre
0,OD200,,Cheese Cake Dessert,exotic cakes,internal,14030,Cheese Cake Dessert,,CEX CCD-EAC,25,,OD200 - Ayesha Centre
0,OD200,,FC Bar One Eggless Drip,exotic cakes,internal,14050,FC Bar One Eggless Drip,,CEX- BEG-EAC,200,,OD200 - Ayesha Centre
0,OD200,,Moist Chocolate Pudding,exotic cakes,internal,14091,Moist Chocolate Pudding,,CEX- MCP-EAC,55,,OD200 - Ayesha Centre
0,OD200,,Buttercream 6 Layer Drip Cake with toppings,exotic cakes,internal,0,Buttercream 6 Layer Drip Cake with toppings,,CEX- MDB-EAC,1100,,OD200 - Ayesha Centre
0,OD200,,New York Blueberry Cheese Cake Slice,exotic,internal,0,New York Blueberry Cheese Cake Slice,,CEX- NBS-EAC,45,,OD200 - Ayesha Centre
0,OD200,,BC 12'' Round Triple Layer Rose Pattern,novelty,internal,0,BC 12'' Round Triple Layer Rose Pattern,,CEX- RTR-12,1000,,OD200 - Ayesha Centre
0,OD200,,Apple Tart,exotic,internal,14025,Apple Tart,,CEX-APP-EAC,60,,OD200 - Ayesha Centre
0,OD200,,Apple Tartlet,exotic,internal,0,Apple Tartlet,,CEX-ATS-EAC,25,,OD200 - Ayesha Centre
0,OD200,,BD Bar One Square 12,exotic cakes,internal,10001,BD Bar One Square 12,,CEX-BAR-012,1100,,OD200 - Ayesha Centre
0,OD200,,BD Bar One Square 14,exotic cakes,internal,10002,BD Bar One Square 14,,CEX-BAR-014,1300,,OD200 - Ayesha Centre
0,OD200,,BD Bar One Square 16,exotic cakes,internal,10003,BD Bar One Square 16,,CEX-BAR-016,1500,,OD200 - Ayesha Centre
0,OD200,,BD Bar One Square 18,exotic cakes,internal,0,BD Bar One Square 18,,CEX-BAR-018,1700,,OD200 - Ayesha Centre
0,OD200,,Bar One Log,exotic cakes,internal,4005,Bar One Log,,CEX-BOL-EAC,185,,OD200 - Ayesha Centre
0,OD200,,Mothers Day Bar One Round with rose and leaves,exotic cakes,internal,14065,Mothers Day Bar One Round with rose and leaves,,CEX-BOM-EAC,300,,OD200 - Ayesha Centre
0,OD200,,Bar One Round,exotic cakes,internal,14003,Bar One Round,,CEX-BOR-EAC,280,,OD200 - Ayesha Centre
0,OD200,,Bar One Slice,exotic cakes,internal,4008,Bar One Slice,,CEX-BOS-EAC,43,,OD200 - Ayesha Centre
0,OD200,,BD 12 Carrot Cake square wit cream cheese,exotic,internal,0,BD 12 Carrot Cake square wit cream cheese,,CEX-CAC-012,1100,,OD200 - Ayesha Centre
0,OD200,,BD 14' Carrot cake square with cream cheese,exotic,internal,0,BD 14' Carrot cake square with cream cheese,,CEX-CAC-014,1300,,OD200 - Ayesha Centre
0,OD200,,BD 16' Carrot Cake Square with cream cheese,exotic cakes,internal,0,BD 16' Carrot Cake Square with cream cheese,,CEX-CAC-016,1500,,OD200 - Ayesha Centre
0,OD200,,BD 18 Carrot Cake Square with cream cheese,exotic cakes,internal,0,BD 18 Carrot Cake Square with cream cheese,,CEX-CAC-018,1700,,OD200 - Ayesha Centre
0,OD200,,BD 20 Carrot Cake Square with cream cheese,exotic,internal,0,BD 20 Carrot Cake Square with cream cheese,,CEX-CAC-020,1600,,OD200 - Ayesha Centre
0,OD200,,Carrot Cake Cupcake,exotic cakes,internal,0,Carrot Cake Cupcake,,CEX-CAC-EAC,25,,OD200 - Ayesha Centre
0,OD200,,Chocolate Bar One 6 Layer Drip Cake,exotic cakes,internal,0,Chocolate Bar One 6 Layer Drip Cake,,CEX-CBD-EAC,1400,,OD200 - Ayesha Centre
0,OD200,,Christmas Bar One Round,exotic cakes,internal,14006,Christmas Bar One Round,,CEX-CBO-EAC,300,,OD200 - Ayesha Centre
0,OD200,,Chocolate Cake Pops (6s),exotic cakes,internal,140295,Chocolate Cake Pops (6s),,CEX-CCP-6S,42,,OD200 - Ayesha Centre
0,OD200,,Cheese Cake Slice,exotic cakes,internal,14007,Cheese Cake Slice,,CEX-CCS-EAC,48,,OD200 - Ayesha Centre
0,OD200,,Cheese Cake Tart,exotic cakes,internal,14008,Cheese Cake Tart,,CEX-CCT-EAC,70,,OD200 - Ayesha Centre
0,OD200,,Caramel Exotic Gateaux,exotic cakes,internal,14035,Caramel Exotic Gateaux,,CEX-CEG-EAC,190,,OD200 - Ayesha Centre
0,OD200,,Chocolate Fererro 6 Layer Drip Cake,exotic cakes,internal,0,Chocolate Fererro 6 Layer Drip Cake,,CEX-CFD-EAC,1400,,OD200 - Ayesha Centre
0,OD200,,Christmas Ferrero Cake,exotic cakes,internal,14010,Christmas Ferrero Cake,,CEX-CFE-EAC,280,,OD200 - Ayesha Centre
0,OD200,,Moist Choc Cake With Cream Cheese,exotic cakes,internal,14199,Moist Choc Cake With Cream Cheese,,CEX-CRM-EAC,180,,OD200 - Ayesha Centre
0,OD200,,Custard & Jelly,exotic cakes,internal,14042,Custard & Jelly,,CEX-CUS-EAC,19,,OD200 - Ayesha Centre
0,OD200,,Decorative Chocolate Vanilla Gateaux,exotic cakes,internal,14044,Decorative Chocolate Vanilla Gateaux,,CEX-DCV-EAC,280,,OD200 - Ayesha Centre
0,OD200,,Bar One Cupcake Eggless,exotic cakes,internal,0,Bar One Cupcake Eggless,,CEX-EBC-EACH,22,,OD200 - Ayesha Centre
0,OD200,,Mothers Day Ferrero Round with rose and leaves,exotic cakes,internal,14045,Mothers Day Ferrero Round with rose and leaves,,CEX-FEM-EAC,280,,OD200 - Ayesha Centre
