TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
XBF-BAN-KGR;;Banana Essence;ingredients;ingredients;Internal;lt;
SHP-POL-EAC;60072;Poli (4s);shop front;shop front;external;ea;pos
SHP-PPP-30S;;Puri Patha Platter 30s;shop front;shop front;internal;ea;pos
SHP-RAI-EAC;16027;Rainbow Sponge Log;shop front;shop front;internal;ea;pos
SHP-RAL-EAC;16028;Raisin Loaf;shop front;shop front;internal;ea;pos
SHP-RJS-595;9006;DC Rajasthani Jewel Sweetmeats 595g;shop front;shop front;external;ea;pos
SHP-RLC-EAC;;DC Diwali Round Clear Assorted;shop front;shop front;external;ea;pos
SHP-ROLL-06S;16029;Rolls 60g Soft Hotdog 6s;shop front;shop front;internal;ea;pos
SHP-ROLL-12S;16030;Rolls 60g Soft Hotdog 12s;shop front;shop front;internal;ea;pos
SHP-ROT-EAC;16046;Rotis 12s;shop front;shop front;internal;ea;pos
SHP-RWC-265G;;DC Sweetmeats Round Wooden Cut 265G;shop front;shop front;external;ea;pos
SHP-RWC-380G;;DC Sweetmeats Rectangle Wooden Cut 380g;shop front;shop front;external;ea;pos
SHP-SBB-EACH;;DC Sweetmeats Boujee Burfee;shop front;shop front;external;ea;pos
SHP-SBC-EAC;8050;Burfee Soji Cake;shop front;shop front;internal;ea;pos
SHP-SCF-EAC;16032;Scones Fruit 4s;shop front;shop front;internal;ea;pos
SHP-SCG-EAC;16034;Dome Buttercream Christmas Cake;shop front;shop front;internal;ea;pos
SHP-SCO-EAC;16033;Scones 4s;shop front;shop front;internal;ea;pos
SHP-SDB-EAC;;DC Diwali Small Designer Box;shop front;shop front;external;ea;pos
SHP-SGL-EAC;;Sweet Meats Gold Foil Large;shop front;shop front;external;ea;pos
SHP-SGS-EAC;;Sweet Meats Gold Foil Small;shop front;shop front;external;ea;pos
SHP-SPF-EAC;;Sweet Meats Paisley Gold Foil;shop front;shop front;external;ea;pos
SHP-SPO-EACH;60073;Soji Poli (5s);shop front;shop front;external;ea;pos
SHP-SSC-EAC;6001651009125;Strawberry Sponge Cake;shop front;shop front;internal;ea;pos
SHP-STE-EAC;;Eggless Trifle Sponge;shop front;shop front;internal;ea;pos
SHP-TLB-EAC;;DC Traingle Lotus Box;shop front;shop front;external;ea;pos
SHP-TRI-EAC;16035;Trifle Sponge;shop front;shop front;internal;ea;pos
SHP-VSA-EACH;;DC Vegan Sweetmeats Assorted Authentic;shop front;shop front;external;ea;pos
SHP-WIC-EAC;16037;Christmas Windsor iced;shop front;shop front;internal;ea;pos
SHP-WIS-EAC;16039;Windsor Slab;shop front;shop front;internal;ea;pos
SHP-WMV-EAC;16040;Windsor Slice;shop front;shop front;internal;ea;pos
SNA-CHE-340;6007597000028;DIWALI CHEVDA 250G;snacks;snacks;external;ea;pos
SNA-CHE-EAC;16047;Maya Spices Chevda 250g;snacks;snacks;external;ea;pos
SNA-KMU-EAC;6009659190678;Kashmiri Murkoo;snacks;snacks;external;ea;pos
SNA-KNP-EAC;;Kara Nichhas Peanuts;snacks;snacks;external;ea;pos
SNA-LMP-EAC;13007;Murkoo Extra Large Plain;snacks;snacks;external;ea;pos
SNA-LMS-EAC;;Murkoo Extra Large;snacks;snacks;external;ea;pos
SNA-MOC-EAC;6001651026986;Murkoo Original Crunch;snacks;snacks;external;ea;pos
SNA-MSF-EAC;30781;Murkoo sticks flavoured;snacks;snacks;external;ea;pos
SNA-MUS-EAC;5010;Murkoo Sticks;snacks;snacks;external;ea;pos
SNA-NUT-60G;6002849000177;ralphies nutties 60g;snacks;snacks;external;ea;pos
SNA-PGA-EAC;4001;Papdi Ganthiya;snacks;snacks;external;ea;pos
SNA-PNM-EAC;30491;PNS Murkoo;snacks;snacks;external;ea;pos
SNA-PNM-EAC;30491;PNS Murkoo;snacks;snacks;external;ea;pos
snA-PNM-EAC;6009634280431;Serve and Nuts 400g;snacks;snacks;external;ea;pos
SNA-PNT-EAC;6002415000501;PNS Traditional Murkoo;snacks;snacks;external;ea;pos
SNA-SAN-EAC;;Serv & Nuts;snacks;snacks;external;ea;pos
SNA-SGA-EAC;;Soft Gantia;snacks;snacks;external;ea;pos
SNA-SUS-EAC;6009708771438;Sugar Sticks;snacks;snacks;external;ea;pos
SNA-TMU-EAC;5011;Tub Murkoo;snacks;snacks;external;ea;pos
CEX-FRT-EAC;14013;Ferrero;sweet;sweets;external;ea;pos
SHP-COC-KGR;;Coconut Ice;sweet;sweets;internal;ea;pos
SWE-ALC-EACH;;Almond Cones;sweet;sweets;external;ea;pos
SWE-BOR-EAC;6009625510592;Masala Bor;sweet;sweets;external;ea;pos
SWE-CAC-EACK;;Cashew Cones;sweet;sweets;external;ea;pos
SWE-CCC-EAC;1017;Chocolate Coconut Cluster;sweet;sweets;external;ea;pos
SWE-CCD-EAC;6009614200985;Caruchi Candy Dates;sweet;sweets;external;ea;pos
SWE-CFW-EAC;10030;China fruit sweet;sweet;sweets;external;ea;pos
SWE-CHF-EAC;6009625510615;China Fruit;sweet;sweets;external;ea;pos
SWE-CHI-EAC;6001200000016;Chicks Violet;sweet;sweets;external;ea;pos
SWE-CMM-EAC;30482;Choc Marshmallow;sweet;sweets;external;ea;pos
SWE-CNI-EAC;30608;Coconut Ice;sweet;sweets;external;ea;pos
SWE-CNW-EAC;6009614200046;Coconut Wheel;Sweet;sweets;external;ea;pos
SWE-COI-EAC;;Coconut ice small;sweet;sweets;external;ea;pos
SWE-CPC-EAC;6009614200008;Chocolate Peanut Cluster;sweet;sweets;external;ea;pos
SWE-CRO-EAC;6009614200558;Chocolate Rocher;sweet;sweets;external;ea;pos
SWE-CRO-EAC;6009614200558;Chocolate Rocher;sweet;sweets;external;ea;pos
SWE-CSP-EAC;8850632605164;Sour Punk Cola;sweet;sweets;external;ea;pos
SWE-FIG-EAC;6009625510608;Masala Figs;sweet;sweets;external;ea;pos
SWE-KIT-EAC;;Kitkat 135g;sweet;sweets;external;ea;pos
SWE-MES-EAC;1024;Mebos Sweets;sweet;sweets;external;ea;pos
SWE-PAA-EAC;;Paan Cones;sweet;sweets;external;ea;pos
SWE-PBS-EAC;;Peanut Brittle Slabs Singles;sweet;sweets;external;ea;pos
SWE-PEC-EAC;;Peanut Cones;sweet;sweets;external;ea;pos
SWE-PNB-EAC;6004796000941;peanut brittle;sweet;sweets;external;ea;pos
SWE-PNB-EACH;6009633420525;Peanut Brittle Slab 10s;sweet;sweets;external;ea;pos
SWE-PNP-EACH;6009663420594;Peanut Brittle Pieces;sweet;sweets;external;ea;pos
XBF-CAR-KGR;30335;Carrots;ingredients;ingredients;Internal;kg;
XBF-CHL-KGR;30084;Chellies Red Alpine;ingredients;ingredients;Internal;kg;
XBF-COC-KGR;30634;Coconut;ingredients;ingredients;Internal;kg;
XBF-CUT-KGR;30086;Fruit Cut Peel;ingredients;ingredients;Internal;kg;
XBF-FMX-KGR;30089;Fruit Mix (Chipkins);ingredients;ingredients;Internal;kg;
XBF-PDA-KGR;;Pitted Dates;ingredients;ingredients;Internal;kg;
XBF-PIE-KGR;30092;Fruit Pie Apples;ingredients;ingredients;Internal;kg;
XBF-RWC-KGR;30669;Red Whole Cherries;ingredients;ingredients;Internal;kg;
XBR-BEB-1KGR;;Berries Blend;ingredients;ingredients;Internal;kg;
XBR-MDF-1KGR;;Mango Diced Fruit;ingredients;ingredients;Internal;kg;
XBR-PEA-KGR;;Peach Slices;ingredients;ingredients;Internal;kg;
XBR-TOM-KGR;;Tomatoe Paste 3.06kg;ingredients;ingredients;Internal;kg;
XCH-CCB-KGR;30158;Chocolate Choco Blocks;ingredients;ingredients;Internal;kg;
XCH-CCM-KGR;30157;Chocolate Chockex Chips Milk;ingredients;ingredients;Internal;kg;
XCH-CCW-KGR;30159;Chocolate Chockex Chips White;ingredients;ingredients;Internal;kg;
XCH-CHO-KGR;30156;Choc milk block;ingredients;ingredients;Internal;kg;
XCH-POW-KGR;30238;Powder Cocoa;ingredients;ingredients;Internal;kg;
XCH-TIN-KG;;Tin Glide 5kg;ingredients;ingredients;Internal;kg;
XCH-VER-KGR;30163;Vermicelli Chocolate;ingredients;ingredients;Internal;kg;
XCH-WCH-KGR;;Choc Milk Block White;ingredients;ingredients;Internal;kg;
SWE-SAB-EACH;;Almond Bar 40g single;sweet;sweets;external;ea;pos
XCO-AES-LTR;;Aniseed Essence;ingredients;ingredients;Internal;lt;
XCO-BCR-KGR;;Bread Crumbs;ingredients;ingredients;Internal;kg;
XCO-BLA-KGR;30225;Black Jack;ingredients;ingredients;Internal;kg;
XCO-LEM-KGR;30164;Coloured Powder Lemon Yellow;ingredients;ingredients;Internal;kg;
XCO-PBL-KGR;30176;powder food colouring blue;ingredients;ingredients;Internal;kg;
XCO-PGN-KGR;30175;Powder colouring green;ingredients;ingredients;Internal;kg;
XCO-PIL-KGR;30173;Pillar Box Red;ingredients;ingredients;Internal;kg;
XCO-REG-EAC;30177;Red piping gel;ingredients;ingredients;Internal;kg;
XCO-VES-LTR;30708;Vanilla Essence;ingredients;ingredients;Internal;lt;
XDA-BERG-KGR;;Berg Cheese;ingredients;ingredients;Internal;kg;
XDA-BME-KGR;;Boneless Mutton;ingredients;ingredients;Internal;kg;
XDA-BUT-EAC;30756;Buttermilk;ingredients;ingredients;Internal;lt;
XDA-CBF-KGR;;Chicken Breast Fillet;ingredients;ingredients;Internal;kg;
XDA-CCS-KGR;30179;Cheese Cottage Smooth;ingredients;ingredients;Internal;kg;
XDA-CHE-KGR;30562;Cheddar Cheese;ingredients;ingredients;Internal;kg;
XDA-CHI-EAC;;Chicken Wings Drumettes;ingredients;ingredients;Internal;kg;
XDA-CRA-1KG;;Crab Sticks;ingredients;ingredients;Internal;kg;
XDA-CRE-250;30848;Cream Cheese;ingredients;ingredients;Internal;kg;
XDA-CRF-250;;Cream Fresh 250ml;ingredients;ingredients;Internal;lt;
XDA-CRF-500;30180;Cream Fresh 500ml;ingredients;ingredients;Internal;lt;
XDA-CSS-KGR;;Chicken Salsa Snack Wings 6kg;ingredients;ingredients;Internal;kg;
XDA-CTS-KGR;;Chicken Tikka Sausage;ingredients;ingredients;Internal;ea;
XDA-DHA-KGR;;Pea Dhall 5kg;ingredients;ingredients;Internal;kg;
XDA-FCR-250ML;;Cream Fresh 250ml;ingredients;ingredients;Internal;lt;
XDA-HAK-1KG;;Hake Fillet -fish;ingredients;ingredients;Internal;kg;
XDA-JAL-KGR;;Jalapenos;ingredients;ingredients;Internal;kg;
XDA-LAM- KGR;;Lamb Mince;ingredients;ingredients;Internal;kg;
XDA-MBP-EAC;;Mini Butter Portions 8grams;ingredients;ingredients;Internal;kg;
XDA-MCP-KGR;;Mutton Cheese Patties;ingredients;ingredients;Internal;kg;
XDA-MJP-EAC;;Mini Jam Portions 15Grams;ingredients;ingredients;Internal;kg;
XDA-MVE-KGR;;Mix Veggies Mcain;ingredients;ingredients;Internal;kg;
XDA-NON-KGR;30183;Non Dairy Cream;ingredients;ingredients;Internal;kg;
XDA-NUT-LTR;30597;Nutriday Yogurt Plain;ingredients;ingredients;Internal;kg;
XDA-OGC-LTR;;Cream Fresh Orange Grove 1litre;ingredients;ingredients;Internal;lt;
XDA-OMU-KGR;;Oriental Mutton Sausage;ingredients;ingredients;Internal;kg;
XDA-PAR-EAC;;Unbaked Patha Rolls;ingredients;ingredients;Internal;kg;
XDA-PEA-KGR;;Peas Frozen 10kg;ingredients;ingredients;Internal;kg;
XDA-PUP-KGR;;Fathimas Puff Pastry 1kg;ingredients;ingredients;Internal;kg;
XDA-SAC-1LT;;Milk 1lt Sachet;ingredients;ingredients;Internal;lt;
XDA-SMF-EAC;;Saldanha Middlecut Tin Fish 400g;ingredients;ingredients;Internal;kg;
XDA-SOY-KGR;;Tommy Marinated Mince;ingredients;ingredients;Internal;kg;
XDA-SWC-KGR;;Mcain Sweetcorn 1kg;ingredients;ingredients;Internal;kg;
XDA-TUC-KGR;;Tuna Chunks In Brine 1.7kg;ingredients;ingredients;Internal;kg;
XDA-TUS-KGR;;Tuna Shredded In Brine 1.7kg;ingredients;ingredients;Internal;kg;
XDA-TWP-KGR;;Tomato Whole Peeled;ingredients;ingredients;Internal;kg;
XDA-YDR-KGR;;Yeast Dry;ingredients;ingredients;Internal;kg;
XDE-GBD-KGR;30187;Gold Beads per Kg;ingredients;ingredients;Internal;kg;
XDE-GLI-EAC;30186;Glitter;ingredients;ingredients;Internal;kg;
XDE-NOP-KGR;30195;Non Pareil;ingredients;ingredients;Internal;kg;
XDE-PMG-KGR;30196;Powder Metallic Gold;ingredients;ingredients;Internal;kg;
XDE-PMS-KGR;30197;Powder Metallic Silver;ingredients;ingredients;Internal;kg;
XDO-BTE-200G;;Bakers Tennis Biscuit 200g;ingredients;ingredients;Internal;kg;
XFA-COO-LTR;;Cooking Oil 5ltrs;ingredients;ingredients;Internal;lt;
XFA-CRI-LTR;30615;Crispa Oil;ingredients;ingredients;Internal;lt;
XFA-EGG-KGR;;Eggs;ingredients;ingredients;Internal;kg;
SWE-SCB-EAC;;Cashew Bar 40g single;sweet;sweets;external;ea;
XFA-FPS-KGR;30206;Fat Pastrex Super;ingredients;ingredients;Internal;kg;
XFA-GHE-KGR;;Clover Ghee;ingredients;ingredients;Internal;kg;
XFA-MAR-KGR;30208;Margarine Marvello Yellow;ingredients;ingredients;Internal;kg;
XFA-MAS-KGR;30209;Margarine Mastercraft White;ingredients;ingredients;Internal;kg;
XFA-MOO-KGR;30780;Mooi river butter;ingredients;ingredients;Internal;kg;
XFA-MRG-KGR;30210;Margarine Mr G;ingredients;ingredients;Internal;kg;
XFA-OIL-LTR;30211;Oil Crispa Gold;ingredients;ingredients;Internal;lt;
SWE-SPA-EAC;8850632605140;Sour Punk Apple;sweet;sweets;external;ea;pos
SWE-SPB-EAC;6009663420938;Sesame Brittle Pieces;sweet;sweets;external;ea;pos
XFA-OVA-KGR;30212;Ovalette;ingredients;ingredients;Internal;kg;
XFA-PTX-KGR;30672;Pastrex Super;ingredients;ingredients;Internal;kg;
XFA-RAM-KGR;30810;Rama;ingredients;ingredients;Internal;kg;
XFA-REL-LTR;30213;Release;ingredients;ingredients;Internal;kg;
XFA-SOI-LTR;;Sunflower Sunfoil 5 Ltr;ingredients;ingredients;Internal;lt;
XFA-SOR-LRT;30242;Sorbitol 30LTR;ingredients;ingredients;Internal;lt;
XFA-YWT-KGR;30244;Yeast Wet;ingredients;ingredients;Internal;kg;
XFL-CAF-125;30217;FlourCake;ingredients;ingredients;Internal;kg;
XFL-CMB-125;;Complete Mix - Brown Bread Flour;ingredients;ingredients;Internal;kg;
XFL-CMW-125;;Complete Mix - White Bread Flour;ingredients;ingredients;Internal;kg;
XFL-GSE-KGR;;Semolina Golden Cloud 1kg;ingredients;ingredients;Internal;kg;
XFL-NYA-KGR;;Nyala Maize Meal 10kg;ingredients;ingredients;Internal;kg;
XMO-BS6-KGR;;Premix Bread S6002 5%;ingredients;ingredients;Internal;kg;
XMP -BFM-KGR;;Premix Butter Flavoured Madeira 12.5kg;ingredients;ingredients;Internal;kg;
XMP-S60-KGR;;Premix S6002 Bread;ingredients;ingredients;Internal;kg;
XMP-SCC-KGR;;Sponge Chocolate Coastal;ingredients;ingredients;Internal;kg;
XMP-SRA-KGR;;Soft Roll Alpaga Improver;ingredients;ingredients;Internal;kg;
XMP-SRE-EAC;;Sponge Redvelvet Premix;ingredients;ingredients;Internal;kg;
XPM-5PB-KGR;;Premix bread 5%;ingredients;ingredients;Internal;kg;
XPM-AFG-KGR;;Apricot Flan Gel;ingredients;ingredients;Internal;kg;
XPM-CCM-KGR;30110;Mix Chocomousse;ingredients;ingredients;Internal;kg;
XPM-EMC-KGR;;Sponge Ebony Moist Choc Mix;ingredients;ingredients;Internal;kg;
XPM-FAI-KGR;30118;Premix 15% Sweet Fairglen;ingredients;ingredients;Internal;kg;
XPM-FON-5KG;30233;Fond Suisse;ingredients;ingredients;Internal;kg;
XPM-FRU-KGR;30088;Fruit Mince;ingredients;ingredients;Internal;kg;
XPM-HXB-KGR;30104;Hot x bun full premix;ingredients;ingredients;Internal;kg;
XPM-MUE-KGR;30113;Mix Muesli Slice;ingredients;ingredients;Internal;kg;
XPM-NOB-KGR;;No-bake premix;ingredients;ingredients;Internal;kg;
XPM-PAS-KGR;30116;Paste 4.5% Standard Bread;ingredients;ingredients;Internal;kg;
XPM-SCH-KGR;30099;Sponge Chocolate;ingredients;ingredients;Internal;kg;
XPM-SPC-KGR;30243;Stabiliser Pettina Cream;ingredients;ingredients;Internal;kg;
XPM-SPE-KGR;30128;Sponge Eggless;ingredients;ingredients;Internal;kg;
XPM-SPI-KGR;30100;Sponge Pettina Instant;ingredients;ingredients;Internal;kg;
XPM-SVC-KGR;;Sponge Instant Coastal;ingredients;ingredients;Internal;kg;
XPM-SWE-KGR;30119;Premix 20% Sweet Red;ingredients;ingredients;Internal;kg;
XPO-BCS-KGR;;Specialty-Chai;ingredients;ingredients;Internal;kg;
XPO-BMS-LTR;;Bubblegum Milkshake Syrup;ingredients;ingredients;Internal;lt;
XPO-CMS-LTR;;Chocolate Milkshake Syrup;ingredients;ingredients;Internal;lt;
XPO-LMS-LTR;;Lime Milkshake Syrup;ingredients;ingredients;Internal;lt;
XPO-MHS-LTR;;Monin Hazelnut Syrup;ingredients;ingredients;Internal;lt;
XPO-MVS-LTR;;Monin Vanilla Syrup;ingredients;ingredients;Internal;lt;
XPO-SCF-KGR;;Specialty - Coffee Freezo;ingredients;ingredients;Internal;kg;
XPO-SCM-LTR;;Salted Caramel Milkshake Syrup;ingredients;ingredients;Internal;kg;
XPO-SIC-KGR;;Specialty -Indonesian Coffee;ingredients;ingredients;Internal;kg;
XPO-SMC-EAC;;Monin Caramel Sauce;ingredients;ingredients;Internal;lt;
XPO-SMC-LTR;;Monin Caramel Syrup;ingredients;ingredients;Internal;lt;
XPO-SMS-LTR;;Strawberry Milkshake Syrup;ingredients;ingredients;Internal;lt;
XSN-ANI-KGR;30479;Aniseed;ingredients;ingredients;Internal;kg;
XSN-FLA-KGR;;Flaked Almonds 1Kg;ingredients;ingredients;Internal;kg;
XSN-NUT-KGR;30131;Nuts Nibb;ingredients;ingredients;Internal;kg;
XSN-PEH-KGR;;Pecan Nut Halves;ingredients;ingredients;Internal;kg;
XSN-SDP-KGR;30135;seed poppy;ingredients;ingredients;Internal;kg;
XSN-SES-KGR;30499;Sesame Seed;ingredients;ingredients;Internal;kg;
XSN-SJEE-KGR;;Spice Jeera Whole;ingredients;ingredients;Internal;kg;
XSN-SMI-KGR;;Spice Mixed Herbs;ingredients;ingredients;Internal;kg;
XSN-SOR-KGR;;Spice Origanum;ingredients;ingredients;Internal;kg;
XSN-WHS-KGR;;Whole Somph;ingredients;ingredients;Internal;kg;
XSP- DHA-EAC;;Spice- Dhania;ingredients;ingredients;Internal;kg;
XSP-ALG-KGR;;Ground Almonds;ingredients;ingredients;Internal;kg;
XSP-BAK-KGR;30239;Baking Powder (Hercules);ingredients;ingredients;Internal;kg;
XSP-BIC-KGR;30224;Bicarbonate Soda;ingredients;ingredients;Internal;kg;
XSP-CIN-KGR;30506;Cinnamon Ground;ingredients;ingredients;Internal;kg;
XSP-COR-KGR;30633;CornFlour;ingredients;ingredients;Internal;kg;
XSP-SAL-EAC;30240;Salt Bale;ingredients;ingredients;Internal;kg;
XSP-SBN-KGR;30142;Spice Bunspice;ingredients;ingredients;Internal;kg;
XSP-SNU-800G;;Spice Nutmeg Ground 800g;ingredients;ingredients;Internal;kg;
XSP-WNM-KGR;1034;Whole Nutmeg;ingredients;ingredients;Internal;kg;
XSU-ESS-KGR;;Equisweet Sucralose Sachets;ingredients;ingredients;Internal;kg;
XSU-HIS-KGR;30671;Huletts Icing Sugar;ingredients;ingredients;Internal;kg;
XSU-IBS-KGR;;Hullets Brown Sugar Tubes;ingredients;ingredients;Internal;kg;
XSU-IWS-KGR;;Huletts White Sugar Tubes;ingredients;ingredients;Internal;kg;
XSU-SBN-KGR;30148;Sugar Brown;ingredients;ingredients;Internal;kg;
XSU-SCH-KGR;30149;Sugar Castor Huletts;ingredients;ingredients;Internal;kg;
XSU-SIC-KGR;30150;Sugar Icing Huletts;ingredients;ingredients;Internal;kg;
XSU-SWH-KGR;30151;Sugar White Huletts;ingredients;ingredients;Internal;kg;
XTO - PIR-KGR;;Pineapple Rings 440g;ingredients;ingredients;Internal;kg;
XTO- ESG-KGR;;Espresso Grind Slojo Spiced Chai;ingredients;ingredients;Internal;kg;
XTO- VIC-LTR;;Gatti Vanilla Ice Cream;ingredients;ingredients;Internal;kg;
XTO-AJM-KGR;30219;Jam Apricot (All Gold);ingredients;ingredients;Internal;kg;
XTO-ALE-KGR;;Almond Essence;ingredients;ingredients;Internal;kg;
XTO-ALM-KGR;30188;Almond Icing;ingredients;ingredients;Internal;kg;
XTO-ASA-KGR;;Ayesha Samoosa Strips;ingredients;ingredients;Internal;kg;
XTO-BAR-KGR;30651;Bar One Spread;ingredients;ingredients;Internal;kg;
XTO-CCL-KGR;;Officemate Creamy Chai Latte;ingredients;ingredients;Internal;kg;
XTO-CFU-KGR;;Cereal Choc Future Life 1.25kg;ingredients;ingredients;Internal;kg;
XTO-CHE-KGR;30222;Pie Filling Black Forest Pie Filling;ingredients;ingredients;Internal;kg;
XTO-CHI-LTR;;Sauce Chilli 2lt;ingredients;ingredients;Internal;lt;
XTO-COB-KGR;;Coffee Beans;ingredients;ingredients;Internal;kg;
XTO-CTS-EAC;;Carte D Toffee Sauce;ingredients;ingredients;Internal;kg;
SWE-SPS-EAC;8850632603566;Sour Punk;sweet;sweets;external;ea;pos
XTO-DHC-KGR;;Officemate Dark Hot Choc;ingredients;ingredients;Internal;kg;
XTO-GAR-KGR;;Spread Garlic & Herb;ingredients;ingredients;Internal;kg;
XTO-GRA-KGR;30221;Pie Filling Granadilla;ingredients;ingredients;Internal;kg;
XTO-GSP-KGR;30561;Golden Syrup;ingredients;ingredients;Internal;kg;
XTO-HAS-KGR;;Spread Hazelnut 5kg;ingredients;ingredients;Internal;kg;
XTO-HCC-KGR;;Hot Chocolate Coffee Merchant;ingredients;ingredients;Internal;kg;
SWE-SSB-EAC;6009625510714;Sweet & Sour Bor;sweet;sweets;external;ea;pos
XTO-HPM-EAC;;Carte D Hot Pudding Mix;ingredients;ingredients;Internal;kg;
XTO-HZL-KGR;30152;Hazelnut Praline;ingredients;ingredients;Internal;kg;
XTO-ICE-KGR;;Ice;ingredients;ingredients;Internal;kg;
XTO-ICK-5KG;30105;Instant Custard Kramess;ingredients;ingredients;Internal;kg;
XTO-JEL-KG;;Assorted Jelly;ingredients;ingredients;Internal;kg;
XTO-KBO-EAC;;Knorr Brown Onion Soup;ingredients;ingredients;Internal;kg;
XTO-KCM-EAC;;Knorr Creamy Mushroom Sauce;ingredients;ingredients;Internal;kg;
XTO-KCS-EAC;;Knorr Cream of Chicken Soup;ingredients;ingredients;Internal;kg;
XTO-KLI-KGR;;Klim 500g;ingredients;ingredients;Internal;kg;
XTO-LEC-5KG;30230;Dip Leamington Chocolate;ingredients;ingredients;Internal;kg;
XTO-LER-5KG;30231;Dip Leamington Raspberry;ingredients;ingredients;Internal;kg;
XTO-MAY-KGR;;Mayonnaise Cross & Blackwell 3kg;ingredients;ingredients;Internal;kg;
XTO-MBD-500ML;;Milky Bar Dessert Topping;ingredients;ingredients;Internal;kg;
XTO-MHC-KGR;;Officemate Milky Hot Choc;ingredients;ingredients;Internal;kg;
XTO-MUS-LTR;;Mustard Sauce;ingredients;ingredients;Internal;kg;
XTO-NUT-KGR;;Nutella 3kg;ingredients;ingredients;Internal;kg;
XTO-OAT-KGR;;Fine Oats 25 kg;ingredients;ingredients;Internal;kg;
XTO-PCH-KGR;30162;Paste Chocolate;ingredients;ingredients;Internal;kg;
XTO-PDA-KG;;Pitted Dates;ingredients;ingredients;Internal;kg;
XTO-PEP-KGR;;Nestle Peppermint Topping;ingredients;ingredients;Internal;kg;
XTO-PIN-EAC;;Pineapple crushed;ingredients;ingredients;Internal;kg;
XTO-PLI-KGR;30189;Icing plastic;ingredients;ingredients;Internal;kg;
XTO-RIC-KGR;;Aunt Caroline Rice;ingredients;ingredients;Internal;kg;
XTO-SAJ-900G;;Jam Strawberry All Gold 900g;ingredients;ingredients;Internal;kg;
XTO-SBJ-KGR;30220;Jam Strawberry (All Gold);ingredients;ingredients;Internal;kg;
XTO-SBO-KGR;30154;Spread Bar One Nestle;ingredients;ingredients;Internal;kg;
XTO-SCA-KGR;30155;Spread caramel;ingredients;ingredients;Internal;kg;
XTO-SCF-KGR;;Coffee Freezo Slojo;ingredients;ingredients;Internal;kg;
XTO-SHC-KGR;;Specialty Hot Chocolate;ingredients;ingredients;Internal;kg;
XTO-SHW-KGR;;Specialty White Hot Chocolate;ingredients;ingredients;Internal;kg;
XTO-SPE-KGR;;Spread Peanut Butter 3kg;ingredients;ingredients;Internal;kg;
XTO-STR-KGR;30710;Pie Filling Strawberry;ingredients;ingredients;Internal;kg;
XTO-TMR-KGR;;Taj Mahal Rice 10KG;ingredients;ingredients;Internal;kg;
XTO-TOM-LTR;;Tomatoe Sauce;ingredients;ingredients;Internal;kg;
XTO-VIN-LT;;Vinegar;ingredients;ingredients;Internal;kg;
YCC-BLA-EAC;;Gel super black;ingredients;ingredients;Internal;ea;
YCC-BRA-KGR;30530;Brandy;ingredients;ingredients;Internal;lt;
YCC-BUR-EAC;30169;Gel Burgundy;ingredients;ingredients;Internal;kg;
YCC-DEP-EAC;;Gel Food Deep Pink;ingredients;ingredients;Internal;kg;
YCC-EDI-005;;Canon Edible Ink set 5s 480/1;ingredients;ingredients;Internal;ea;
YCC-ELE-EAC;30165;Electric Green Gel;ingredients;ingredients;Internal;kg;
YCC-EOR-EAC;30660;Gel Col. Elec Orange;ingredients;ingredients;Internal;kg;
YCC-GEL-EAC;30185;Gel liquid gold /silver/ pearl;ingredients;ingredients;Internal;kg;
YCC-GEP-EAC;30625;Gel Food Col.Elec Purple;ingredients;ingredients;Internal;kg;
YCC-GLY-EAC;30628;Gel Food Col. Lemon Yellow;ingredients;ingredients;Internal;kg;
YCC-GLY-KGR;30207;Glycerine;ingredients;ingredients;Internal;kg;
YCC-GSB-EAC;30627;Gel Food ColSky Blue;ingredients;ingredients;Internal;kg;
YCC-ICS-EAC;;Icing Sheet A4 New;ingredients;ingredients;Internal;ea;
YCC-ISH-EAC;30235;Icing Sheet A4 Borderless;ingredients;ingredients;Internal;ea;
YCC-LES-LTR;30690;Lemon Essense;ingredients;ingredients;Internal;ea;
YCC-PIN-EAC;30166;Pink Gel;ingredients;ingredients;Internal;ea;
YCC-POT-KGR;30237;Potassium Sorbate Granular;ingredients;ingredients;Internal;kg;
YCC-PUR-EAC;30543;Gel Food Colouring Purple;ingredients;ingredients;Internal;kg;
YCC-ROB-EAC;;Gel Food Royal Blue;ingredients;ingredients;Internal;kg;
YCC-SRD-EAC;30657;Gel Col.Super Red;ingredients;ingredients;Internal;kg;
YCC-SUP-EAC;30170;Gel Super Red;ingredients;ingredients;Internal;kg;
YCC-TEA-EAC;30172;Gel Teal;ingredients;ingredients;Internal;kg;
YCC-THF-KGR;;Thickflo 25kg;ingredients;ingredients;Internal;kg;
YCC-VIT-KGR;;Vitap Starch 25kg;ingredients;ingredients;Internal;kg;
YCL-SPO-EAC;30057;Sponges;ingredients;ingredients;Internal;ea;
MIS-FNW-EAC;;Balloons-Foil Number White Gold;packaging;packaging;Internal;ea;
PAC- BTL-EACH;;Bag Brown Thrifty Paper Bag Large;packaging;packaging;Internal;ea;
PAC- CUC-350ML;;Cup Clear 350ML;packaging;packaging;Internal;ea;
