"ItemCode","Barcode","ItemDescription","Category","ItemCategory","UnitOfMeasure","SellingPrice","CostPrice","IsRetail"
"CAN-GOL-008","","Candle Numeral 8 Gold","candle","external","ea","22.00","0.00","True"
"CAN-GOL-009","","Candle Numeral 9 Gold","candle","external","ea","22.00","0.00","True"
"CAN-MAG-24S","8004.0","Candle Magic Assorted","candle","external","ea","30.00","0.00","True"
"CAN-MCA-EAC","30714.0","Magic Candles","candle","external","ea","30.00","0.00","True"
"CAN-MIX-24S","8005.0","Candle Mixed - 24x24","candle","external","ea","30.00","0.00","True"
"CAN-RAI-000","8006.0","Candle Numeral 0 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-001","8007.0","Candle Numeral 1 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-002","8008.0","Candle Numeral 2 Rainbow","candle","external","ea","22.00","43.50","True"
"CAN-RAI-003","8009.0","Candle Numeral 3 Rainbow","candle","external","ea","13.00","7.19","True"
"CAN-RAI-004","8010.0","Candle Numeral 4 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-005","8011.0","Candle Numeral 5 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-006","8012.0","Candle Numeral 6 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-007","8013.0","Candle Numeral 7 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-RAI-009","8015.0","Candle Numeral 9 Rainbow","candle","external","ea","22.00","0.00","True"
"CAN-SIL-000","","Candle Numeral 0 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-001","","Candle Numeral 1 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-002","","Candle Numeral 2 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-003","","Candle Numeral 3 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-004","","Candle Numeral 4 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-005","","Candle Numeral 5 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-006","","Candle Numeral 6 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-007","","Candle Numeral 7 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-008","","Candle Numeral 8 Silver","candle","external","ea","22.00","0.00","True"
"CAN-SIL-009","","Candle Numeral 9 Silver","candle","external","ea","22.00","0.00","True"
"CAN-WHI-000","8025.0","Candle Numeral 0 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-001","8016.0","Candle Numeral 1 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-002","8017.0","Candle Numeral 2 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-003","8018.0","Candle Numeral 3 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-004","8019.0","Candle Numeral 4 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-005","8020.0","Candle Numeral 5 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-006","8021.0","Candle Numeral 6 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-007","8022.0","Candle Numeral 7 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-008","8023.0","Candle Numeral 8 White","candle","external","ea","22.00","0.00","True"
"CAN-WHI-009","8024.0","Candle Numeral 9 White","candle","external","ea","22.00","0.00","True"
"CBA-BAC-014","","BD 14'' Buttercream Alphabet Cake","novelty","internal","ea","640.00","0.00","True"
"CBA-BEA-016","","BD 16'' Eggless Buttercream Alphabet Cake","novelty","internal","ea","830.00","0.00","True"
"CBC-BBG-EAC","11001.0","BC Birthday Gateaux","buttercream cake","internal","ea","120.00","0.00","False"
"CBC-BCC-EAC","30337.0","Icing Cup Cakes","buttercream cake","internal","ea","20.00","0.00","False"
"CBC-BCD-EAC","11004.0","BC Chocolate Delight","buttercream cake","internal","ea","22.00","0.00","False"
"CBC-BCE-EAC","","BC Eggless Vanilla Gateaux","buttercream cake","internal","ea","120.00","0.00","False"
"CBC-BCG-EAC","11003.0","BC Chocolate Gateaux","buttercream cake","internal","ea","125.00","0.00","False"
"CBC-BCN-EAC","30339.0","Icing Cup Cakes With Name","buttercream cake","internal","ea","20.00","0.00","False"
"CBC-BCS-EAC","11005.0","BC Chocolate Slice","buttercream cake","internal","ea","22.00","0.00","False"
"CBC-BDN-EAC","11016.0","BC Doughnut","buttercream cake","internal","ea","16.00","0.00","False"
"CBC-BEG-EAC","11040.0","BC Eggless Birthday Gateaux","buttercream cake","internal","ea","125.00","0.00","False"
"CBC-BET-EAC","11041.0","BC Triple Layer Eggless Drip Gateaux","buttercream cake","internal","ea","0.00","0.00","False"
"CBC-BRG-EAC","11042.0","BC Smash Choc Rose Pattern Gateaux","buttercream cake","internal","ea","600","0.00","False"
"CBC-BTD-EAC","11096.0","BC Triple Layer Drip Gateaux","buttercream cake","internal","ea","0.00","0.00","False"
"CBC-CBG-EAC","11097.0","Christmas Buttercream Gateaux","buttercream cake","internal","ea","160.00","0.00","False"
"CBC-CDB-EAC","15060.0","BC Choc Drip Gateaux","buttercream cake","internal","ea","0.00","0.00","False"
"CBC-CDN-EAC","11018.0","Chocolate Doughnut","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-CNL-EAC","11032.0","Coconut Tartlet","biuttercream cake","internal","ea","20.00","0.00","False"
"CBC-CNR-EAC","11030.0","Coconut Ring","buttercream cake","internal","ea","20.00","0.00","False"
"CBC-CNS-EAC","11008.0","Coconut Slice","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-CNT-EAC","11031.0","Coconut Tart","buttercream cake","internal","ea","0.00","0.00","False"
"CBC-CRP-EAC","11034.0","Cream Puff","buttercream figure","internal","ea","18.00","0.00","False"
"CBC-CUS-EAC","11035.0","Currant Square","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-EB1-1M","","BD 1MX500 BC Eggless","buttercream 1mx500","internal","ea","2,400.00","0.00","False"
"CBC-FLA-EAC","11036.0","Flakey Bits","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-JAP-EAC","11037.0","Jam Puff","buttercream cake","internal","ea","17.00","0.00","False"
"CBC-JAT-EAC","11038.0","Jam Tart","buttercream cake","internal","ea","0.00","0.00","False"
"CBC-JDN-EAC","11019.0","Jam Doughnut","buttercream cake","internal","ea","15.00","0.00","False"
"CBC-JTO-EAC","11039.0","Jam Turnover","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-KOE-EAC","11020.0","Koeksuster 1s","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-LPC-EAC","11009.0","Choc Lamington Plain","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-LPR-EAC","11010.0","Raspberry Lamington Plain","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-MBD-EAC","11043.0","Mini Buttercream D/N","buttercream","internal","ea","12.00","0.00","True"
"CBC-MBG-EAC","11098.0","Mothers Day Buttercream Gateaux","buttercream cake","internal","ea","140.00","0.00","False"
"CBC-MCD-EAC","11044.0","Mini Chocolate D/N","buttercream cake","internal","ea","13.00","0.00","False"
"CBC-MCL-EAC","","Mini Lamington Chocolate Plain","shop front","internal","ea","13.00","0.00","True"
"CBC-MEL-40G","11021.0","Melting Moments 40g (Round)","sweet","external","ea","15.00","0.00","False"
"CBC-MEL-60G","11023.0","Melting Moments 60g (Long)","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-MFL-EAC","11045.0","Mini F/BITS","buttercream cake","internal","ea","13.00","0.00","False"
"CBC-MRL-EAC","","Mini Lamington Raspberry Plain","buttercream cake","internal","ea","13.00","0.00","False"
"CBC-MSB-EACH","11046.0","Mini S/B","buttercream cake","internal","ea","13.00","0.00","False"
"CBC-MUE-EAC","11007.0","Muesli Slice","buttercream cake","internal","ea","18.00","0.00","False"
"CBC-PCC-EAC","30338.0","BD Picture Cup Cakes","buttercream cakes","internal","ea","24.00","0.00","False"
"CBC-QUC-EAC","11011.0","Queen Cakes 1s","buttercream cake","internal","ea","12.00","0.00","False"
"CBC-SNO-EAC","11013.0","Snowballs 1s","buttercream cake","internal","ea","18.00","0.00","False"
"CBF-BCF-018","10088.0","BD Buttercream Figure 18","buttercream figure cake","internal","ea","850.00","0.00","False"
"CBF-BCF-018","10088.0","BD Buttercream Figure 18","buttercream figure cake","internal","ea","850.00","0.00","False"
"CBF-BCF-020","10090.0","BD Buttercream Figure 20","buttercream figure","internal","ea","900.00","0.00","False"
"CBF-BCF-020","10090.0","BD Buttercream Figure 20","buttercream figure","internal","ea","900.00","0.00","False"
"CBF-BCK-020","10096.0","BD Buttercream Key","novelty","internal","ea","0.00","0.00","True"
"CBF-BFE-020","10199.0","BD 20 Buttercream Figure on Base Eggless","buttercream figure","internal","ea","1,350.00","0.00","False"
"CBF-BFS-018","10092.0","BD Buttercream Fig on SL 18","buttercream figure cake","internal","ea","940.00","0.00","False"
"CBF-BFS-018","10092.0","BD Buttercream Fig on SL 18","buttercream figure cake","internal","ea","940.00","0.00","False"
"CBF-BFS-020","10094.0","BD Buttercream Fig on SL 20","buttercream figure cake","internal","ea","990.00","0.00","False"
"CBF-BLF-014","12001.0","BD Freshcream 14 Black Forest","freshcream square black forest","internal","ea","740.00","0.00","False"
"CBF-BLF-016","12020.0","BD Freshcream 16 Blackforest","freshcream blackforest","internal","ea","800.00","0.00","False"
"CBF-FCD-014","10039.0","BD Freshcream 14 DL","freshcream square","internal","ea","470.00","0.00","False"
"CBF-FCF-018","10089.0","BD Freshcream Figure 18","freshcream figure cake","internal","ea","900.00","0.00","False"
"CBF-FCF-020","10091.0","BD Freshcream Figure 20","freshcream figure","internal","ea","950.00","0.00","False"
"CBF-FCK-020","10097.0","BD Freshcream Key","novelty","internal","ea","0.00","0.00","True"
"CBF-FF0-020","","BD 20 Freshcream Figure Only Eggless","freshcream figure","internal","ea","1300","0.00","False"
"CBF-FFE-020","10198.0","BD Freshcream Figure on Base Eggless 20","freshcream figure cake","internal","ea","1,450.00","0.00","False"
"CBF-FFS-018","10093.0","BD Freshcream Fig on SL 18","freshcream figure cake","internal","ea","990.00","0.00","False"
"CBF-FFS-020","10095.0","BD Freshcream Fig on SL 20","freshcream figure","internal","ea","1,040.00","0.00","False"
"CBF-FOE-020","","BD 20 Buttercream Figure Only Eggless","buttercream figure","internal","ea","1250","0.00","False"
"CBN-B1M-EACH","","BD Buttercream 1MX1M","novelty","internal","ea","5,500.00","0.00","True"
"CBN-F1M-EACH","","BD Freshcream 1M X1M","novelty","internal","ea","5,700.00","0.00","True"
"CBR-BCR-012","10105.0","BD Buttercream 12 Round","buttercream cake round","internal","ea","420.00","0.00","False"
"CBR-BCR-014","10107.0","BD Buttercream 14 Round","buttercream cake round","internal","ea","450.00","0.00","False"
"CBR-BCR-016","10109.0","BD Buttercream 16 Round","buttercream round","internal","ea","480.00","0.00","False"
"CBR-BCR-018","10104.0","BD Buttercream 18 Round","buttercream cake round","internal","ea","570.00","0.00","False"
"CBR-BCR-020","10112.0","BD Buttercream 20 Round","buttercream round","internal","ea","610.00","0.00","False"
"CBR-FCR-012","10106.0","BD Freshcream 12 Round","freshcream cake round","internal","ea","460.00","0.00","False"
"CBR-FCR-014","10108.0","BD Freshcream 14 Round","freshcream cake round","internal","ea","490.00","0.00","False"
"CBR-FCR-016","10110.0","BD Freshcream 16 Round","freashcream round","internal","ea","520.00","0.00","False"
"CBR-FCR-018","10111.0","BD Freshcream 18 Round","freshcream round","internal","ea","620.00","0.00","False"
"CBR-FCR-020","10113.0","BD Freshcream 20 Round","freshcream round","internal","ea","660.00","0.00","False"
"CBS-BCD-012","10005.0","BD Buttercream 12 DL","buttercream square","internal","ea","400.00","0.00","False"
"CBS-BCD-014","10007.0","BD Buttercream 14 DL","buttercream square","internal","ea","430.00","0.00","False"
"CBS-BCD-016","10011.0","BD Buttercream 16 DL","buttercream square","internal","ea","460.00","0.00","False"
"CBS-BCD-018","10015.0","BD Buttercream 18 DL","buttercream square cake","internal","ea","550.00","0.00","False"
"CBS-BCD-020","10018.0","BD Buttercream 20 DL","buttercream square","internal","ea","590.00","0.00","False"
"CBS-BCD-022","10031.0","BD Buttercream 22 DL","buttercream square","internal","ea","770.00","0.00","False"
"CBS-BCE-016","10033.0","BD 16 BC DL Eggless","buttercream square","internal","ea","520.00","0.00","False"
"CBS-BLF-012","10078.0","BD Freshcream 12 Black Forest","freshcream black forest","internal","ea","670.00","0.00","False"
"CBS-FCD-012","10037.0","BD Freshcream 12 DL","freshcream square","internal","ea","440.00","0.00","False"
"CBS-FCD-016","10041.0","BD Freshcream 16 DL","freshcream square","internal","ea","500.00","0.00","False"
"CBS-FCD-018","10045.0","BD Freshcream 18 DL","freshcream square","internal","ea","600.00","0.00","False"
"CBS-FCD-020","10050.0","BD Freshcream 20 DL","frsshcream square","internal","ea","640.00","0.00","False"
"CBS-FCD-022","10054.0","BD Freshcream 22 DL","freshcream square","internal","ea","830.00","0.00","False"
"CBS-FCE-016","10103.0","BD 16 Freshcream Eggless","freshcream square","internal","ea","560.00","0.00","False"
"CBS-SBE-EACH","30650.0","Eggless Small Buttercream Gateaux","buttercream cake","internal","ea","0.00","0.00","False"
"CBW-CAK-003","10102.0","BD Buttercream 3 Tier Stacked","wedding cake","internal","ea","2,900.00","0.00","False"
"CBW-CKE-003","10098.0","BD Wedding Cake BC 10 12 14 Loose","wedding cake","internal","ea","0.00","0.00","False"
"CBW-STA-EAC","10289.0","BD Buttercream 2Tier Stacked 12 16","wedding cake","internal","ea","2,100.00","0.00","False"
"CEX- BDC-EAC","","Bar One 6 Layer Drip With Toppings","exotic cakes","internal","ea","0.00","0.00","True"
"CEX- BEG-EAC","14050.0","FC Bar One Eggless Drip","exotic cakes","internal","ea","230.00","0.00","True"
"CEX CCD-EAC","14030.0","Cheese Cake Dessert","exotic cakes","internal","ea","40.00","0.00","True"
"CEX- LFD-EACH","","20cmBC4LayerDrip Cake- Fresh Flowers Macaroon/topp","novelty","internal","ea","0.00","0.00","True"
"CEX- MCP-EAC","14091.0","Moist Chocolate Pudding","exotic cakes","internal","ea","60.00","0.00","True"
"CEX- MDB-EAC","","Buttercream 6 Layer Drip Cake with toppings","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX- NBS-EAC","","New York Blueberry Cheese Cake Slice","exotic","internal","ea","50.00","0.00","True"
"CEX -NYW-EAC","30665.0","New York Baked Cheese Cake Round","exotic cakes","internal","ea","400.00","0.00","True"
"CEX- RTR-12","","BC 12'' Round Triple Layer Rose Pattern","novelty","internal","ea","950.00","0.00","True"
"CEX-AMB-EAC","14001.0","American Brownie","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-APP-EAC","14025.0","Apple Tart","exotic","internal","ea","80.00","0.00","True"
"CEX-ATS-EAC","","Apple Tartlet","exotic","internal","ea","30.00","0.00","True"
"CEX-BAR-012","10001.0","BD Bar One Square 12","exotic cakes","internal","ea","1,000.00","0.00","True"
"CEX-BAR-014","10002.0","BD Bar One Square 14","exotic cakes","internal","ea","1,200.00","0.00","True"
"CEX-BAR-016","10003.0","BD Bar One Square 16","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX-BAR-018","","BD Bar One Square 18","exotic cakes","internal","ea","1700","0.00","True"
"CEX-BAR-020","","BD Bar One Square 20","exotic","internal","ea","0.00","0.00","True"
"CEX-BCC-EAC","14027.0","Baked Citrus Cheese Cake","exotic","internal","ea","0.00","0.00","True"
"CEX-BOL-EAC","4005.0","Bar One Log","exotic cakes","internal","ea","185.00","0.00","True"
"CEX-BOM-EAC","14065.0","Mothers Day Bar One Round with rose and leaves","exotic cakes","internal","ea","290.00","0.00","True"
"CEX-BOR-EAC","14003.0","Bar One Round","exotic cakes","internal","ea","290.00","0.00","True"
"CEX-BOS-EAC","4008.0","Bar One Slice","exotic cakes","internal","ea","45.00","0.00","True"
"CEX-BRC-EAC","14028.0","Baked Red Velvet Cheese Cake","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-BVC-EAC","","Baked Vanilla Cheese Cake","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-CAC-012","","BD 12 Carrot Cake square wit cream cheese","exotic","internal","ea","1,000.00","0.00","True"
"CEX-CAC-014","","BD 14' Carrot cake square with cream cheese","exotic","internal","ea","1300","0.00","True"
"CEX-CAC-016","","BD 16' Carrot Cake Square with cream cheese","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX-CAC-018","","BD 18 Carrot Cake Square with cream cheese","exotic cakes","internal","ea","1700","0.00","True"
"CEX-CAC-020","","BD 20 Carrot Cake Square with cream cheese","exotic","internal","ea","1,800.00","0.00","True"
"CEX-CAC-EAC","","Carrot Cake Cupcake","exotic cakes","internal","ea","25.00","0.00","True"
"CEX-CBD-EAC","","Chocolate Bar One 6 Layer Drip Cake","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX-CBO-EAC","14006.0","Christmas Bar One Round","exotic cakes","internal","ea","280.00","0.00","True"
"CEX-CCC-EAC","14033.0","Baked Choclate Cheese Cake","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-CCP-6S","140295.0","Chocolate Cake Pops (6s)","exotic cakes","internal","ea","42.00","0.00","True"
"CEX-CCS-EAC","14007.0","Cheese Cake Slice","exotic cakes","internal","ea","50.00","0.00","True"
"CEX-CCT-EAC","14008.0","Cheese Cake Tart","exotic cakes","internal","ea","67.00","0.00","True"
"CEX-CEG-EAC","14035.0","Caramel Exotic Gateaux","exotic cakes","internal","ea","230.00","0.00","True"
"CEX-CFD-EAC","","Chocolate Fererro 6 Layer Drip Cake","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX-CFE-EAC","14010.0","Christmas Ferrero Cake","exotic cakes","internal","ea","280.00","0.00","True"
"CEX-CHC-EAC","14036.0","Chocolate Cheese Cake Cup","exotic","internal","ea","0.00","0.00","True"
"CEX-CIC-EAC","14037.0","Citrus Cheese Cake Cup","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-CRM-EAC","14199.0","Moist Choc Cake With Cream Cheese","exotic cakes","internal","ea","180.00","0.00","True"
"CEX-CUS-EAC","14042.0","Custard & Jelly","exotic cakes","internal","ea","19","0.00","True"
"CEX-DCV-EAC","14044.0","Decorative Chocolate Vanilla Gateaux","exotic cakes","internal","ea","280.00","0.00","True"
"CEX-EBC-EACH","","Bar One Cupcake Eggless","exotic cakes","internal","ea","20.00","0.00","True"
"CEX-FEM-EAC","14045.0","Mothers Day Ferrero Round with rose and leaves","exotic cakes","internal","ea","290.00","0.00","True"
"CEX-FER-012","10075.0","BD Ferrero Cake 12","exotic cakes","internal","ea","1,000.00","0.00","True"
"CEX-FER-014","10076.0","BD Ferrero Cake 14","exotic cakes","internal","ea","1,200.00","0.00","True"
"CEX-FER-016","10077.0","BD Ferrero Cake 16","exotic cakes","internal","ea","1,400.00","0.00","True"
"CEX-FER-018","","BD Ferrero Cake 18","exotic cakes","internal","ea","1,600.00","0.00","True"
"CEX-FER-020","","BD Ferrero Cake 20","exotic","internal","ea","1,800.00","0.00","True"
"CEX-FRC-EAC","14012.0","Ferrero Rocher Cake","exotic cakes","internal","ea","290.00","0.00","True"
"CEX-FRT-EAC","14013.0","Ferrero","sweet","external","ea","0.00","0.00","False"
"CEX-GCA-EAC","","Giant Cappuchino Muffin","exotic","internal","ea","0.00","0.00","True"
"CEX-GCC-EAC","","Giant Corn & Chives Muffin","exotic","internal","ea","0.00","0.00","True"
"CEX-GCH-EAC","","Giant Choc Muffin","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-GCM-EAC","","Giant Chicken & Mushroom Muffin","exotic","internal","ea","0.00","0.00","True"
"CEX-GIM-EAC","14046.0","Giant Muffins","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-GLP-EAC","","Giant Lemon Poppy& Nuts","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-GPC-EAC","","Giant Pecan & Carrot Muffin","exotic","internal","ea","0.00","0.00","True"
"CEX-GSF-EAC","","Giant Spinach & Feta Muffin","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-GVA-EAC","","Giant Vanilla Muffins","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-LMS-EAC","","Lemon Meringue Tart Small","exotic","internal","ea","20","0.00","True"
"CEX-LMT-EAC","","Lemon Meringue Tart Large","exotic cakes","internal","ea","60","0.00","True"
"CEX-MAC-EAC","14047.0","Macaroons (4s)","exotic cakes","internal","ea","60.00","0.00","True"
"CEX-MAL-EAC","14048.0","Malva Pudding","exotic","internal","ea","34","0.00","True"
"CEX-MAO-EAC","","Macaroons (1s)","exotic","internal","ea","18.00","10.00","True"
"CEX-MBE-EAC","14049.0","Milky Bar Exotic","exotic cakes","internal","ea","250.00","0.00","True"
"CEX-MBS-EAC","","Bar One Swissroll Slice","exotic cakes","internal","ea","40.00","0.00","True"
"CEX-MCL-EACH","","Moist Chocolate Cake Large With Cream Cheese","exotic","internal","ea","350.00","0.00","True"
"CEX-MDF-EAC","","Freshcream 6 Layer Drip Cake with Toppings","shop front","internal","ea","1,400.00","0.00","True"
"CEX-MIL-12","","BD Milky Bar 12''","exotic","internal","ea","950.00","0.00","True"
"CEX-MIL-14","","BD Milky Bar 14''","exotic cakes","internal","ea","1,050.00","0.00","True"
"CEX-MIL-EAC","","Milky Bar Swissroll Slice","exotic cakes","internal","ea","36.00","0.00","True"
"CEX-MPN-EAC","","Mini Pecan Nut Tart","exotic cakes","internal","ea","25.00","0.00","True"
"CEX-MPT-EAC","","Malva Pudding Tartlet","exotic cakes","internal","ea","16","0.00","True"
"CEX-MRC-EAC","","Cream Cheese Rainbow Cake","exotic cakes","internal","ea","350","0.00","True"
"CEX-MRS-EAC","","Cream Cheese Rainbow Slice","exotic cakes","internal","ea","43","0.00","True"
"CEX-MVC-EAC","14092.0","Moist Vanilla Cake with Caramel Drizzle","exotic cakes","internal","ea","75.00","0.00","True"
"CEX-NBC-EAC","","New York Baked Blueberry Cheesecake Round","exotic cakes","internal","ea","360.00","0.00","True"
"CEX-NRV-EAC","14057.0","New Red Velvet Cake","exotic","internal","ea","0.00","0.00","True"
"CEX-NUT-12","","12'' Nibbed Nuts Only","miscellenous","internal","ea","80.00","0.00","False"
"CEX-NUT-14","","14'' Nibbed Nuts Only","miscellaneous","internal","ea","80.00","0.00","False"
"CEX-NUT-16","","16'' Nibbed Nuts Only","miscellenous","internal","ea","120.00","0.00","False"
"CEX-NUT-18","","18'' Nibbed Nuts Only","exotic","internal","ea","120.00","0.00","True"
"CEX-NUT-20","","20'' Nibbed Nuts Only","miscellenous","internal","ea","180.00","0.00","False"
"CEX-NUT-22","","22'' Nibbed Nuts Only","miscellenous","internal","ea","180.00","0.00","False"
"CEX-NYC-EAC","","New York Baked Cheese Cake Slice","exotic cakes","internal","ea","50.00","0.00","True"
"CEX-PCT-4S","","Portuguese Custard Tart (4S)","exotic","external","ea","60.00","0.00","True"
"CEX-PCT-EAC","","Portuguese Custard Tart","exotic","external","ea","22.00","10.00","True"
"CEX-PEA-12","","12'' Peaches Slices Only","miscellenous","internal","ea","80.00","0.00","False"
"CEX-PEA-14","","14'' Peaches Slices Only","miscellaneous","internal","ea","80.00","0.00","False"
"CEX-PEA-16","","16'' Peaches Slices Only","miscellaneous","internal","ea","120.00","0.00","False"
"CEX-PEA-18","","18'' Peaches Slices Only","miscellenous","internal","ea","180.00","0.00","False"
"CEX-PEA-20","","20'' Peaches Slices Only","miscellenous","internal","ea","180.00","0.00","False"
"CEX-PEA-22","","22'' Peaches Slices Only","miscellaneous","internal","ea","180.00","0.00","False"
"CEX-PET-EACH","","Pecan Nut Tartlet","exotic cakes","internal","ea","20.00","0.00","True"
"CEX-PMC-EACH","14014.0","Peppermint Crisp Cake","exotic","internal","ea","100.00","0.00","True"
"CEX-PNT-EAC","14016.0","Pecan Nut Tart","exotic cakes","internal","ea","35.00","0.00","True"
"CEX-RCC-EAC","14058.0","CARROT CAKE ROUND","exotic cakes","internal","ea","0.00","0.00","True"
"CEX-REC-EAC","14038.0","Redvelvet Cheese Cake Cup","exotic cakes","internal","ea","32.00","0.00","True"
"CEX-RED-016","30778.0","BD 16 Red Velvet Square","exotic cakes","internal","ea","1,200.00","0.00","True"
"CEX-RMC-EAC","14059.0","OREO CAKE","exotic cakes","internal","ea","350","0.00","True"
"CEX-RSW-EAC","14060.0","Red velvet Swissroll","exotic cakes","internal","ea","35","0.00","True"
"CEX-RTR-14","","BC 14'' Round Triple Layer Rose Pattern","novelty","internal","ea","1,000.00","0.00","True"
